Model,Review_Budget,Review_Budget_Percent,Review_Count,TP_at_K,FP_at_K,FN_at_K,TN_at_K,Precision@K,Recall@K,F1@K,Lift@K,Captured_Fraud_Amount@K,Captured_Fraud_Amount_Rate@K,Review_Cost@K,False_Positive_Cost@K,Expected_Utility@K
tree_guided_moe_kd_focal_supcon,0.01,1.0,886,780,106,2303,85392,0.8803611738148984,0.2530003243593902,0.3930461073318216,25.294606921082554,68355.60210800171,0.14555869214998451,886.0,0.0,67469.60210800171
tree_guided_moe_kd_focal_supcon,0.03,3.0,2658,1516,1142,1567,84356,0.5703536493604213,0.4917288355497892,0.5281309876328166,16.38744619331673,178605.5431818962,0.3803285828017177,2658.0,0.0,175947.5431818962
tree_guided_moe_kd_focal_supcon,0.05,5.0,4430,1725,2705,1358,82793,0.3893905191873589,0.5595199481024976,0.4592040463197125,11.187999215094207,228884.11117458344,0.48739343739295427,4430.0,0.0,224454.11117458344
tree_guided_moe_kd_focal_supcon,0.1,10.0,8859,2093,6766,990,78732,0.23625691387289763,0.6788842036976971,0.3505275498241501,6.788152347640333,308884.37622594833,0.6577486620332132,8859.0,0.0,300025.37622594833
tree_guided_moe_kd_focal_supcon,0.15,15.0,13288,2304,10984,779,74514,0.17338952438290187,0.7473240350308141,0.28147333699835075,4.981841537256513,356755.0002832413,0.7596859607373303,13288.0,0.0,343467.0002832413
tree_guided_moe_kd_focal_supcon,0.2,20.0,17717,2482,15235,601,70263,0.14009143760230286,0.8050600064871878,0.23865384615384616,4.025118272542844,392532.4782400131,0.8358717120029606,17717.0,0.0,374815.4782400131
