Model,Review_Budget,Review_Budget_Percent,Review_Count,TP_at_K,FP_at_K,FN_at_K,TN_at_K,Precision@K,Recall@K,F1@K,Lift@K,Captured_Fraud_Amount@K,Captured_Fraud_Amount_Rate@K,Review_Cost@K,False_Positive_Cost@K,Expected_Utility@K
tree_guided_moe_kd_focal_supcon,0.01,1.0,886,785,101,2298,85397,0.8860045146726863,0.25462212131041195,0.3955656336608718,25.456751837243342,67410.43909406662,0.14354603059871096,886.0,0.0,66524.43909406662
tree_guided_moe_kd_focal_supcon,0.03,3.0,2658,1517,1141,1566,84357,0.5707298720842738,0.4920531949399935,0.5284793589966905,16.398255854394115,186132.37119197845,0.3963564606551584,2658.0,0.0,183474.37119197845
tree_guided_moe_kd_focal_supcon,0.05,5.0,4430,1740,2690,1343,82808,0.3927765237020316,0.5643853389555628,0.46319712498336213,11.285286164790678,232769.80519485474,0.4956677634502694,4430.0,0.0,228339.80519485474
tree_guided_moe_kd_focal_supcon,0.1,10.0,8859,2146,6713,937,78785,0.24223953042104074,0.6960752513785274,0.3594037849606431,6.960045359787937,323809.5382666588,0.6895307983874491,8859.0,0.0,314950.5382666588
tree_guided_moe_kd_focal_supcon,0.15,15.0,13288,2336,10952,747,74546,0.17579771222155327,0.7577035355173533,0.2853826889011056,5.0510337808295205,360386.8022646904,0.7674196406445339,13288.0,0.0,347098.8022646904
tree_guided_moe_kd_focal_supcon,0.2,20.0,17717,2493,15224,590,70274,0.14071231021053227,0.8086279597794356,0.23971153846153848,4.042957233460641,388159.28029060364,0.8265592788680248,17717.0,0.0,370442.28029060364
