Model,Review_Budget,Review_Budget_Percent,Review_Count,TP_at_K,FP_at_K,FN_at_K,TN_at_K,Precision@K,Recall@K,F1@K,Lift@K,Captured_Fraud_Amount@K,Captured_Fraud_Amount_Rate@K,Review_Cost@K,False_Positive_Cost@K,Expected_Utility@K
tree_guided_moe_kd_focal_supcon,0.01,1.0,886,786,100,2297,85398,0.8871331828442438,0.25494648070061626,0.3960695389266818,25.4891808204755,67080.86710309982,0.14284422904192565,886.0,0.0,66194.86710309982
tree_guided_moe_kd_focal_supcon,0.03,3.0,2658,1516,1142,1567,84356,0.5703536493604213,0.4917288355497892,0.5281309876328166,16.38744619331673,189119.37918233871,0.4027170947964747,2658.0,0.0,186461.37918233871
tree_guided_moe_kd_focal_supcon,0.05,5.0,4430,1753,2677,1330,82821,0.3957110609480813,0.5686020110282193,0.46665779315852524,11.369601521194287,239626.66820144653,0.510268995547006,4430.0,0.0,235196.66820144653
tree_guided_moe_kd_focal_supcon,0.1,10.0,8859,2151,6708,932,78790,0.24280392820860142,0.6976970483295492,0.3602411656338972,6.976261681688655,325662.17224788666,0.6934758587925067,8859.0,0.0,316803.17224788666
tree_guided_moe_kd_focal_supcon,0.15,15.0,13288,2346,10942,737,74556,0.17655027092113185,0.7609471294193967,0.28660436137071654,5.072656356946085,362133.8322687149,0.7711398244288974,13288.0,0.0,348845.8322687149
tree_guided_moe_kd_focal_supcon,0.2,20.0,17717,2519,15198,564,70300,0.142179827284529,0.8170613039247486,0.24221153846153845,4.085122050175434,394772.5982885361,0.8406418981247472,17717.0,0.0,377055.5982885361
