experiment,epoch,train_loss,train_classification_loss,train_kd_loss,train_supcon_loss,val_PR_AUC,val_ROC_AUC,val_Fraud_Precision,val_Fraud_Recall,val_Fraud_F1,val_MCC,val_Recall@Precision>=0.80,val_threshold,lr,epoch_seconds
tree_guided_moe_kd_focal_supcon,1,0.761034126181994,0.023664763780683325,1.9954780259235347,6.936296575549485,0.6090801976390107,0.9274940673027645,0.6527244819646969,0.5591715976331361,0.6023371104815864,0.5912042768287559,0.4349112426035503,0.5432424545288086,0.0003,46.68
tree_guided_moe_kd_focal_supcon,2,0.6759200052210339,0.00587977557071322,1.7870229703214098,6.696665913380339,0.610271108908419,0.9257988879720128,0.6749277158199092,0.537146614069691,0.5982061138568552,0.5896591772031695,0.4437869822485207,0.5450437068939209,0.0003,49.85
tree_guided_moe_kd_focal_supcon,3,0.6732289412065482,0.005215136990381196,1.780303556456689,6.696135866643094,0.6138215213623667,0.9268939819208387,0.6923402454506983,0.5378040762656148,0.6053654024051804,0.598186870620408,0.46055226824457596,0.5302510261535645,0.0003,39.76
tree_guided_moe_kd_focal_supcon,4,0.6724441778098694,0.004836879407943282,1.7775899558123636,6.716514657245287,0.6114458357990971,0.9265818950949081,0.7064544650751547,0.5253122945430638,0.6025641025641025,0.5974675117490099,0.4559500328731098,0.5317800641059875,0.0003,32.02
tree_guided_moe_kd_focal_supcon,5,0.6720313082875744,0.004588907475613053,1.775980527659392,6.732411041220731,0.6117184792312405,0.9260132439829151,0.6706026058631922,0.5414201183431953,0.5991269552564569,0.5900161009331476,0.44740302432610124,0.5233914256095886,0.0003,25.98
tree_guided_moe_kd_focal_supcon,6,0.6718416485387945,0.004468905797878339,1.7755192095898307,6.735847895791926,0.6172947453234463,0.92766522160874,0.6963123644251626,0.5276134122287969,0.6003366373667477,0.5941666358169418,0.4444444444444444,0.5450265407562256,0.0003,25.68
tree_guided_moe_kd_focal_supcon,7,0.67092149728057,0.0043180911741437025,1.773329330770831,6.730229356127429,0.6174996677917696,0.9276530948480856,0.6523572249904178,0.559500328731098,0.6023712617235888,0.5912034702376192,0.44806048652202496,0.528632640838623,0.0003,26.13
tree_guided_moe_kd_focal_supcon,8,0.6703142904955679,0.0041557594494867805,1.7726643760781222,6.717959704221307,0.6155735246811042,0.9270474985250161,0.710455764075067,0.5226824457593688,0.6022727272727273,0.5977443694485927,0.44937541091387245,0.5631552934646606,0.0003,25.93
tree_guided_moe_kd_focal_supcon,9,0.6705424698927465,0.004075734376411942,1.774343755876423,6.708179379046597,0.6157450898600073,0.9278865335495374,0.6745901639344263,0.5410913872452334,0.6005107624954397,0.5917217905572163,0.44543063773833,0.5388950109481812,0.0003,25.87
tree_guided_moe_kd_focal_supcon,10,0.6699051348283582,0.003977207476671321,1.7732850557304736,6.697119467917883,0.6161852913814122,0.9280473192926081,0.6580392156862745,0.5516107823800132,0.600143061516452,0.5896518729031164,0.4444444444444444,0.5450371503829956,0.00015,26.04
tree_guided_moe_kd_focal_supcon,11,0.669116601791233,0.0038369724378702784,1.7723440074599517,6.678820286065934,0.6160386490965747,0.9279259383159357,0.6562621927428794,0.5529257067718606,0.6001784121320249,0.5895132409254191,0.44806048652202496,0.5370210409164429,0.00015,25.94
tree_guided_moe_kd_focal_supcon,12,0.6685315512240004,0.0037479087079841165,1.7709624891196598,6.674743806377039,0.61791986394221,0.9289518130761935,0.6731866340668297,0.5430637738330046,0.6011644832605532,0.5921641805445998,0.4451019066403682,0.5470139980316162,0.00015,26.24
tree_guided_moe_kd_focal_supcon,13,0.6687471269664361,0.0036808767604065025,1.7717776380647352,6.67664685822002,0.6171564484303187,0.928106715632109,0.6788685524126455,0.5364891518737672,0.5993389643775248,0.5911417318163614,0.4451019066403682,0.5495054721832275,0.00015,25.95
tree_guided_moe_kd_focal_supcon,14,0.6688971890169123,0.0036638936277886033,1.772717627627757,6.670899333729338,0.6173612940601143,0.9283757640829584,0.6766169154228856,0.5364891518737672,0.5984598459845984,0.5900833317278841,0.44049967126890205,0.5489785075187683,0.00015,25.95
tree_guided_moe_kd_focal_supcon,15,0.6686955413119607,0.0036664861008326166,1.7720628806332586,6.67050854364954,0.6185748001481315,0.92858406343888,0.6920444824636441,0.5318869165023011,0.6014869888475837,0.5946604558550406,0.4467455621301775,0.5594403147697449,0.00015,25.69
tree_guided_moe_kd_focal_supcon,16,0.668699078151151,0.0035557943745212653,1.7727486436420061,6.665933511855257,0.6149474888120187,0.9283267939521902,0.6666666666666666,0.5410913872452334,0.5973507530393758,0.5879604285912466,0.44115713346482577,0.5434768795967102,0.00015,25.86
tree_guided_moe_kd_focal_supcon,17,0.668488099168037,0.003509157806397189,1.7724616048001383,6.662021966775509,0.617575596604973,0.9287084016465217,0.6575019638648861,0.5502958579881657,0.5991410164638511,0.5886680082412531,0.44115713346482577,0.5383970737457275,0.00015,25.88
tree_guided_moe_kd_focal_supcon,18,0.6684232571633165,0.00352251644814264,1.7721959709315425,6.662096468679717,0.6163511687935903,0.9285237447661336,0.6476226993865031,0.5552268244575936,0.5978761061946902,0.5865584947534044,0.4418145956607495,0.5355408787727356,7.5e-05,25.78
tree_guided_moe_kd_focal_supcon,19,0.6680869011045922,0.003408454800216869,1.7719414778764,6.654799126647388,0.614042854809424,0.9278557045607972,0.6639871382636656,0.5430637738330046,0.5974683544303797,0.5877821462432541,0.4418145956607495,0.538221001625061,7.5e-05,27.16
tree_guided_moe_kd_focal_supcon,20,0.6680160658309084,0.0033826499302202265,1.771858615450728,6.653790510393633,0.6174124507827282,0.9287684071102701,0.6560534591194969,0.5486522024983563,0.5975653419262442,0.5870621353105372,0.4421433267587114,0.5332202315330505,7.5e-05,26.11
