Model,Best_Epoch,Best_Val_PR_AUC,Selected_Threshold_from_Val,Val_Best_Fraud_Precision,Val_Best_Fraud_Recall,Val_Best_Fraud_F1,Val_Best_MCC,Train_Time_Seconds,Checkpoint_File,History_File,Prediction_File,PR_AUC,ROC_AUC,Fraud_Precision,Fraud_Recall,Fraud_F1,MCC,Recall@Precision>=0.80,Threshold@Precision>=0.80,Selected_Threshold,TN,FP,FN,TP
moe_focal_supcon,15,0.5302824209623462,0.917,0.6266724212343547,0.47731755424063116,0.541892144056727,0.5330789717842312,1146.623,D:\project\data\merge_paper_ready\dl_moe_results\best_moe_focal_supcon.pt,D:\project\data\merge_paper_ready\dl_moe_results\history_moe_focal_supcon.csv,D:\project\data\merge_paper_ready\dl_moe_results\pred_moe_focal_supcon.csv,0.4496939586230396,0.8266946446526373,0.5278662420382165,0.43010055141096337,0.4739946380697051,0.4595827891570504,0.27440804411287706,0.9579710960388184,0.917,84312,1186,1757,1326
moe_focal,11,0.5074312770403036,0.851,0.6052867383512545,0.4441157133464826,0.5123246113007205,0.5040711266656719,1123.609,D:\project\data\merge_paper_ready\dl_moe_results\best_moe_focal.pt,D:\project\data\merge_paper_ready\dl_moe_results\history_moe_focal.csv,D:\project\data\merge_paper_ready\dl_moe_results\pred_moe_focal.csv,0.44204359714673336,0.8536503068431941,0.5112603713947057,0.41972105092442424,0.46099038118988245,0.4458300485258842,0.24878365228673371,0.941028892993927,0.851,84261,1237,1789,1294
concat_bce,16,0.5510705872821722,0.9570000000000001,0.6871746332229058,0.47731755424063116,0.5633365664403491,0.560406484986261,1630.83,D:\project\data\merge_paper_ready\dl_moe_results\best_concat_bce.pt,D:\project\data\merge_paper_ready\dl_moe_results\history_concat_bce.csv,D:\project\data\merge_paper_ready\dl_moe_results\pred_concat_bce.csv,0.4399035485709168,0.8508887583108415,0.5656656207978485,0.40934155043788517,0.4749717726759503,0.46555986463700233,0.20888744729159908,0.9993166923522949,0.9570000000000001,84529,969,1821,1262
cnn_only_bce,14,0.49247189888787,0.9390000000000001,0.6618332470222682,0.42011834319526625,0.513975467524633,0.5143915142423597,1169.336,D:\project\data\merge_paper_ready\dl_moe_results\best_cnn_only_bce.pt,D:\project\data\merge_paper_ready\dl_moe_results\history_cnn_only_bce.csv,D:\project\data\merge_paper_ready\dl_moe_results\pred_cnn_only_bce.csv,0.43538946606193357,0.8289132673582787,0.57169900615239,0.39182614336685045,0.4649730561970747,0.4579172449752218,0.2675964969185858,0.9943912625312805,0.9390000000000001,84593,905,1875,1208
deepfm_only_bce,12,0.5365203192775005,0.9450000000000001,0.6129837702871411,0.48422090729783035,0.5410468319559228,0.530600631955104,956.479,D:\project\data\merge_paper_ready\dl_moe_results\best_deepfm_only_bce.pt,D:\project\data\merge_paper_ready\dl_moe_results\history_deepfm_only_bce.csv,D:\project\data\merge_paper_ready\dl_moe_results\pred_deepfm_only_bce.csv,0.404136816034175,0.8534397642213998,0.44193989071038253,0.41972105092442424,0.4305440026617867,0.4107042061890014,0.17774894583198184,0.9999706745147705,0.9450000000000001,83864,1634,1789,1294
moe_bce,9,0.4886321504424749,0.975,0.5846702317290553,0.43129520052596976,0.4964055996973137,0.4872076123991531,1375.534,D:\project\data\merge_paper_ready\dl_moe_results\best_moe_bce.pt,D:\project\data\merge_paper_ready\dl_moe_results\history_moe_bce.csv,D:\project\data\merge_paper_ready\dl_moe_results\pred_moe_bce.csv,0.3626526120082911,0.8159089589377735,0.4714525608732158,0.36425559519948103,0.4109789569990851,0.3960293151128255,0.12747324035030813,0.9998199343681335,0.975,84239,1259,1960,1123
