Model,Review_Budget,Review_Budget_Percent,Review_Count,TP_at_K,FP_at_K,FN_at_K,TN_at_K,Precision@K,Recall@K,F1@K,Lift@K,Captured_Fraud_Amount@K,Captured_Fraud_Amount_Rate@K,Review_Cost@K,False_Positive_Cost@K,Expected_Utility@K
tree_guided_moe_kd_focal_supcon,0.01,1.0,886,786,100,2297,85398,0.8871331828442438,0.25494648070061626,0.3960695389266818,25.4891808204755,67125.01209259033,0.14293823285049514,886.0,0.0,66239.01209259033
tree_guided_moe_kd_focal_supcon,0.03,3.0,2658,1519,1139,1564,84359,0.571482317531979,0.49270191372040223,0.5291761017244383,16.419875176548892,187646.7312092781,0.39958118923284086,2658.0,0.0,184988.7312092781
tree_guided_moe_kd_focal_supcon,0.05,5.0,4430,1745,2685,1338,82813,0.3939051918735892,0.5660071359065845,0.46452815120457874,11.317715148022836,235548.41121006012,0.5015846194957234,4430.0,0.0,231118.41121006012
tree_guided_moe_kd_focal_supcon,0.1,10.0,8859,2146,6713,937,78785,0.24223953042104074,0.6960752513785274,0.3594037849606431,6.960045359787937,321787.4812273979,0.6852249628888101,8859.0,0.0,312928.4812273979
tree_guided_moe_kd_focal_supcon,0.15,15.0,13288,2346,10942,737,74556,0.17655027092113185,0.7609471294193967,0.28660436137071654,5.072656356946085,358560.92725515366,0.7635315616836085,13288.0,0.0,345272.92725515366
tree_guided_moe_kd_focal_supcon,0.2,20.0,17717,2508,15209,575,70289,0.1415589546762996,0.8134933506325008,0.24115384615384614,4.067283089257637,392317.7112956047,0.8354143801299161,17717.0,0.0,374600.7112956047
