Config_Name,Config_KD_Weight,Config_Lambda_SupCon,Config_Selection_Objective,Config_Seed,Model,PR_AUC,ROC_AUC,Fraud_Precision,Fraud_Recall,Fraud_F1,MCC,Recall@Precision>=0.80,Precision@5%,Recall@5%,CapturedAmountRate@5%,ExpectedUtility@5%,Best_Epoch,Best_Val_Selection_Score,Best_Val_PR_AUC,Selected_Threshold,Selected_Threshold_from_Val,TN,FP,FN,TP
A_current_pr_auc_seed42,0.3,0.01,PR_AUC,42,tree_guided_moe_kd_focal_supcon,0.5392217700183413,0.903395767160415,0.5779394867866717,0.4894583198183587,0.530031612223393,0.5164327167970796,0.3516055789815115,0.3939051918735892,0.5660071359065845,0.5015846194957234,231118.4112100601,12,0.6181456222198687,0.6181456222198687,0.5486424565315247,0.5486424565315247,84396,1102,1574,1509
H_kd030_sup020_pr_auc_seed42,0.3,0.02,PR_AUC,42,tree_guided_moe_kd_focal_supcon,0.5390094519463509,0.9030353442323116,0.5872641509433962,0.4845929289652935,0.5310111960191932,0.5183134538386218,0.354849172883555,0.3957110609480813,0.5686020110282193,0.510268995547006,235196.66820144653,15,0.6185748001481315,0.6185748001481315,0.5594403147697449,0.5594403147697449,84448,1050,1589,1494
F_kd040_sup010_pr_auc_seed42,0.4,0.01,PR_AUC,42,tree_guided_moe_kd_focal_supcon,0.5372050550049555,0.9020270371522804,0.5612879619465788,0.4975673045734674,0.5275103163686382,0.5125254778344774,0.3554978916639636,0.3927765237020316,0.5643853389555628,0.4956677634502694,228339.80519485477,6,0.6181843851104505,0.6181843851104505,0.5233487486839294,0.5233487486839294,84299,1199,1549,1534
G_kd050_sup010_pr_auc_seed42,0.5,0.01,PR_AUC,42,tree_guided_moe_kd_focal_supcon,0.5367994601300583,0.901542474618967,0.5573710965867829,0.4978916639636717,0.5259551139283879,0.5107256255955493,0.3580927667855984,0.391647855530474,0.562763542004541,0.4935721626278503,227355.693192482,6,0.6171670833321992,0.6171670833321992,0.527233362197876,0.527233362197876,84279,1219,1548,1535
C_kd030_sup010_f1_seed42,0.3,0.01,Fraud_F1,42,tree_guided_moe_kd_focal_supcon,0.5365520190489188,0.901202543716948,0.5576993083363669,0.4969185857930587,0.525557461406518,0.5103756964173373,0.3593902043464158,0.391647855530474,0.562763542004541,0.4939849852008726,227549.55819034576,7,0.6051355719159633,0.6175447820470883,0.5349293947219849,0.5349293947219849,84283,1215,1551,1532
E_kd020_sup005_pr_auc_seed42,0.2,0.005,PR_AUC,42,tree_guided_moe_kd_focal_supcon,0.5355205448282916,0.8984851034029192,0.5807183364839319,0.4982160233538761,0.5363128491620112,0.5225470105459015,0.3658773921505027,0.3988713318284424,0.5731430424910802,0.4952688843642554,228152.4881772995,1,0.6151262390128607,0.6151262390128607,0.5734460949897766,0.5734460949897766,84389,1109,1547,1536
D_kd030_sup010_recallP80_seed42,0.3,0.01,Recall@Precision>=0.80,42,tree_guided_moe_kd_focal_supcon,0.5331369248985198,0.8990686965023537,0.602621876280213,0.4771326629905936,0.5325850832729906,0.5215141825675337,0.3616607200778463,0.3893905191873589,0.5595199481024976,0.4873934373929542,224454.11117458344,3,0.460223537146614,0.609926917472585,0.5377958416938782,0.5377958416938782,84528,970,1612,1471
B_kd030_sup010_mcc_seed42,0.3,0.01,MCC,42,tree_guided_moe_kd_focal_supcon,0.531202503321156,0.8984802341044874,0.6211396259243149,0.4631852092118066,0.5306577480490524,0.5221932823353732,0.3623094388582549,0.3887133182844244,0.5585468699318845,0.4800053070186623,220984.582198143,4,0.5976482921180287,0.611005828657699,0.5439115762710571,0.5439115762710571,84627,871,1655,1428
