Model,Review_Budget,Review_Budget_Percent,Review_Count,TP_at_K,FP_at_K,FN_at_K,TN_at_K,Precision@K,Recall@K,F1@K,Lift@K,Captured_Fraud_Amount@K,Captured_Fraud_Amount_Rate@K,Review_Cost@K,False_Positive_Cost@K,Expected_Utility@K
tree_guided_moe_kd_focal_supcon,0.01,1.0,886,788,98,2295,85400,0.8893905191873589,0.255595199481025,0.39707734945830186,25.554038786939813,68816.32707953453,0.14653977522480255,886.0,0.0,67930.32707953453
tree_guided_moe_kd_focal_supcon,0.03,3.0,2658,1511,1147,1572,84351,0.5684725357411587,0.4901070385987674,0.5263891308134471,16.333397887929802,186266.57418107986,0.39664223696278794,2658.0,0.0,183608.57418107986
tree_guided_moe_kd_focal_supcon,0.05,5.0,4430,1742,2688,1341,82810,0.39322799097065464,0.5650340577359715,0.4637295354718488,11.298257758083542,232739.60519504547,0.49560345456643834,4430.0,0.0,228309.60519504547
tree_guided_moe_kd_focal_supcon,0.1,10.0,8859,2154,6705,929,78793,0.24314256688113783,0.6986701265001621,0.3607435940378496,6.985991474829086,324274.4342608452,0.6905207633766043,8859.0,0.0,315415.4342608452
tree_guided_moe_kd_focal_supcon,0.15,15.0,13288,2343,10945,740,74553,0.1763245033112583,0.7599740512487837,0.2862378596298333,5.066169584111116,360149.9002547264,0.7669151736268405,13288.0,0.0,346861.9002547264
tree_guided_moe_kd_focal_supcon,0.2,20.0,17717,2499,15218,584,70280,0.1410509679968392,0.8105741161206617,0.24028846153846153,4.05268757577944,388605.50230550766,0.8275094788647323,17717.0,0.0,370888.50230550766
