Model,Review_Budget,Review_Budget_Percent,Review_Count,TP_at_K,FP_at_K,FN_at_K,TN_at_K,Precision@K,Recall@K,F1@K,Lift@K,Captured_Fraud_Amount@K,Captured_Fraud_Amount_Rate@K,Review_Cost@K,False_Positive_Cost@K,Expected_Utility@K
tree_guided_moe_kd_focal_supcon,0.01,1.0,886,786,100,2297,85398,0.8871331828442438,0.25494648070061626,0.3960695389266818,25.4891808204755,67718.69210290909,0.144202434806043,886.0,0.0,66832.69210290909
tree_guided_moe_kd_focal_supcon,0.03,3.0,2658,1515,1143,1568,84355,0.5699774266365688,0.4914044761595848,0.5277826162689426,16.376636532239345,183958.23818206787,0.3917267895276525,2658.0,0.0,181300.23818206787
tree_guided_moe_kd_focal_supcon,0.05,5.0,4430,1735,2695,1348,82803,0.39164785553047404,0.562763542004541,0.4618660987621457,11.252857181558522,231785.693192482,0.49357216262785036,4430.0,0.0,227355.693192482
tree_guided_moe_kd_focal_supcon,0.1,10.0,8859,2148,6711,935,78787,0.24246528953606503,0.6967239701589361,0.3597387372299447,6.966531888548224,322130.54525995255,0.6859554948476019,8859.0,0.0,313271.54525995255
tree_guided_moe_kd_focal_supcon,0.15,15.0,13288,2339,10949,744,74549,0.17602347983142685,0.7586766136879662,0.2857491906419889,5.05752055366449,360518.6582570076,0.7677004191791668,13288.0,0.0,347230.6582570076
tree_guided_moe_kd_focal_supcon,0.2,20.0,17717,2496,15221,587,70277,0.14088163910368573,0.8096010379500487,0.24,4.047822404620041,391251.07527160645,0.8331430499116855,17717.0,0.0,373534.07527160645
