experiment,epoch,train_loss,train_classification_loss,train_kd_loss,train_supcon_loss,val_PR_AUC,val_ROC_AUC,val_Fraud_Precision,val_Fraud_Recall,val_Fraud_F1,val_MCC,val_Recall@Precision>=0.80,val_threshold,lr,epoch_seconds
tree_guided_moe_kd_focal_supcon,1,1.0846879181207996,0.02559001104204198,1.9796787325353078,6.925854284738685,0.609842727209392,0.9273167064626561,0.6821546052631579,0.5453648915187377,0.6061381074168798,0.5977028373007405,0.42833662064431294,0.5369100570678711,0.0003,50.24
tree_guided_moe_kd_focal_supcon,2,0.965629285184389,0.00648079522602091,1.784887686673375,6.670464786570255,0.6110511484074342,0.9257065086113374,0.6642828764402066,0.5496383957922419,0.6015470408346825,0.5915751236927684,0.4451019066403682,0.5351395010948181,0.0003,48.02
tree_guided_moe_kd_focal_supcon,3,0.9616733989431512,0.005819866338725736,1.7782246775685482,6.674119335168636,0.6150579001524912,0.9269508841175206,0.6932253941201534,0.534845496383958,0.6038226015958433,0.5969048299830313,0.452991452991453,0.5339657068252563,0.0003,27.54
tree_guided_moe_kd_focal_supcon,4,0.9600596866791928,0.005447029955740021,1.7755583355125941,6.683349100209469,0.6164782606886916,0.9264666995155652,0.692600422832981,0.5384615384615384,0.605881265026817,0.5986835355676976,0.4533201840894149,0.5260184407234192,0.0003,32.99
tree_guided_moe_kd_focal_supcon,5,0.9590687213690515,0.005215302605082586,1.7738505904859057,6.692812541990942,0.6150910556257787,0.9265893679157265,0.6719128329297821,0.5473372781065089,0.6032608695652174,0.5939490806400819,0.45003287310979617,0.5210334062576294,0.0003,41.03
tree_guided_moe_kd_focal_supcon,6,0.958696427355496,0.005158734106483321,1.773184243089285,6.694557197859123,0.6171670833321992,0.9280791378680601,0.6637692611615962,0.5522682445759369,0.6029068724205994,0.5927826076157903,0.44049967126890205,0.527233362197876,0.0003,47.34
tree_guided_moe_kd_focal_supcon,7,0.9574281573869466,0.004993854836356267,1.7710518825930204,6.69083616248833,0.6155979769469602,0.9272781317961789,0.6606583072100314,0.5542406311637081,0.6027887021809081,0.5923670427378341,0.43852728468113084,0.5315470695495605,0.0003,46.66
tree_guided_moe_kd_focal_supcon,8,0.9568836157773496,0.00483054113490088,1.7705079642631745,6.679909377472768,0.6143198501541873,0.9271798533457857,0.6990418118466899,0.5276134122287969,0.6013488197826902,0.5954195562453127,0.4437869822485207,0.5606566071510315,0.0003,34.74
tree_guided_moe_kd_focal_supcon,9,0.9575579817527542,0.004771434423198346,1.7722068406162306,6.668312754561208,0.6143398087119142,0.9276231593696772,0.6761083743842364,0.5414201183431953,0.6013143483023001,0.5926248033310139,0.44049967126890205,0.5379578471183777,0.00015,48.13
tree_guided_moe_kd_focal_supcon,10,0.9566153924099365,0.004556438890307441,1.7710469253306973,6.65354927084619,0.6154879483142504,0.9284724803314165,0.6857624262847515,0.5351742274819198,0.6011816838995568,0.5936216337136374,0.44247205785667326,0.5534396171569824,0.00015,31.47
tree_guided_moe_kd_focal_supcon,11,0.9561968254118719,0.004516052684129224,1.7704132991235082,6.647412681641418,0.6143776072984408,0.9274538708669969,0.6661329063250601,0.5470085470085471,0.6007220216606498,0.5910036433482203,0.4444444444444444,0.5445809364318848,0.00015,26.13
