Model,PR_AUC,ROC_AUC,Fraud_Precision,Fraud_Recall,Fraud_F1,MCC,Recall@Precision>=0.80,Precision@1%,Recall@1%,CapturedAmountRate@1%,ExpectedUtility@1%,Precision@3%,Recall@3%,CapturedAmountRate@3%,ExpectedUtility@3%,Precision@5%,Recall@5%,CapturedAmountRate@5%,ExpectedUtility@5%,Precision@10%,Recall@10%,CapturedAmountRate@10%,ExpectedUtility@10%,Selected_Threshold_from_Val,TN,FP,FN,TP,Train_Time_Seconds
LightGBM scale_pos_weight,0.5430971781269645,0.9055642647351401,0.5290775401069518,0.5134609146934804,0.5211522633744856,0.5042138286230056,0.3480376256892637,0.8848758465011287,0.2542977619202076,0.14542458043809234,67406.62210536003,0.5696012039127163,0.49108011676938046,0.3984178457007493,184442.41517400742,0.4076749435665914,0.5857930587090496,0.5223439148358332,240867.15318727493,0.2476577491816232,0.7116445021083361,0.6954936586298928,317750.7482447624,0.5948789233413447,84089,1409,1500,1583,129.143
XGBoost scale_pos_weight,0.519434132037779,0.9066935436259207,0.5424184261036469,0.45831981835874147,0.49683544303797467,0.48208629006625214,0.3091144988647421,0.8781038374717833,0.2523516055789815,0.13904238353751827,64409.48805952072,0.536869826937547,0.46286084982160236,0.3758924558709134,173864.30017590523,0.3939051918735892,0.5660071359065845,0.528585132432907,243798.08215093613,0.24585167626142906,0.7064547518650665,0.708502689904397,323859.90017843246,0.7704899907112122,84306,1192,1670,1413,189.216
CatBoost class_weights,0.517234695405993,0.907545509616449,0.5880118193330519,0.45183263055465456,0.5110051357300074,0.500336954418079,0.322088874472916,0.8702031602708804,0.25008108984755106,0.12974226907817865,60042.075065135956,0.5477802859292701,0.4722672721375284,0.35071617504928393,162041.30418038368,0.39480812641083524,0.5673045734674019,0.48298870473778566,222385.61118793488,0.24461000112879558,0.7028867985728187,0.6819662826156543,311398.1772046089,0.7808881380527625,84522,976,1690,1393,350.47
HistGradientBoosting SampleWeight,0.5135528770971766,0.90419280700938,0.5134943181818182,0.4690236782354849,0.4902525851839295,0.4732509410804681,0.3334414531300681,0.891647855530474,0.25624391826143367,0.13613641847574542,63044.822105407715,0.5285929270127916,0.4557249432371067,0.33155811127543494,153044.5141904354,0.3923250564334086,0.563736620175154,0.48528845860579656,223465.5952000618,0.24054633705835873,0.6912098605254622,0.6789926972493988,310001.75617933273,0.8074529286225763,84128,1370,1637,1446,212.867
Logistic Regression Balanced,0.07950222499200842,0.6866566700431436,0.11551950898728627,0.3418747972753811,0.17268780208077333,0.14923055435230115,0.0009730781706130393,0.03837471783295711,0.011028219266947779,0.020321771404511534,8657.277009010315,0.07486832204665161,0.06454751865066494,0.05163115864322285,21588.43203687668,0.10248306997742664,0.14725916315277326,0.09426379232206197,39837.08007597923,0.11739473981261993,0.3373337658125203,0.21661141915439702,92863.56813430786,0.7117220726693376,77428,8070,2029,1054,2361.24
