Model,Review_Budget,Review_Budget_Percent,Review_Count,TP_at_K,FP_at_K,FN_at_K,TN_at_K,Precision@K,Recall@K,F1@K,Lift@K,Captured_Fraud_Amount@K,Captured_Fraud_Amount_Rate@K,Review_Cost@K,False_Positive_Cost@K,Expected_Utility@K
CatBoost class_weights,0.01,1.0,886,771,115,2312,85383,0.8702031602708804,0.25008108984755106,0.38851095993953133,25.002746071993144,60928.075065135956,0.12974226907817865,886.0,0.0,60042.075065135956
CatBoost class_weights,0.03,3.0,2658,1456,1202,1627,84296,0.5477802859292701,0.4722672721375284,0.5072287058003833,15.738866528673588,164699.30418038368,0.35071617504928393,2658.0,0.0,162041.30418038368
CatBoost class_weights,0.05,5.0,4430,1749,2681,1334,82817,0.39480812641083524,0.5673045734674019,0.465592972181552,11.343658334608563,226815.61118793488,0.48298870473778566,4430.0,0.0,222385.61118793488
CatBoost class_weights,0.1,10.0,8859,2167,6692,916,78806,0.24461000112879558,0.7028867985728187,0.36292078378831016,7.028153911770951,320257.1772046089,0.6819662826156543,8859.0,0.0,311398.1772046089
CatBoost class_weights,0.15,15.0,13288,2440,10848,643,74650,0.18362432269717038,0.7914369120986052,0.2980880825850589,5.275908572441794,368585.98820495605,0.7848792598323503,13288.0,0.0,355297.98820495605
CatBoost class_weights,0.2,20.0,17717,2606,15111,477,70387,0.14709036518597957,0.8452805708725267,0.2505769230769231,4.2262120137980075,398708.62218904495,0.8490233983026542,17717.0,0.0,380991.62218904495
