Model,Review_Budget,Review_Budget_Percent,Review_Count,TP_at_K,FP_at_K,FN_at_K,TN_at_K,Precision@K,Recall@K,F1@K,Lift@K,Captured_Fraud_Amount@K,Captured_Fraud_Amount_Rate@K,Review_Cost@K,False_Positive_Cost@K,Expected_Utility@K
XGBoost scale_pos_weight,0.01,1.0,886,778,108,2305,85390,0.8781038374717833,0.2523516055789815,0.3920382968002015,25.22974895461824,65295.48805952072,0.13904238353751827,886.0,0.0,64409.48805952072
XGBoost scale_pos_weight,0.03,3.0,2658,1427,1231,1656,84267,0.536869826937547,0.46286084982160236,0.4971259362480404,15.425386357429405,176522.30017590523,0.3758924558709134,2658.0,0.0,173864.30017590523
XGBoost scale_pos_weight,0.05,5.0,4430,1745,2685,1338,82813,0.3939051918735892,0.5660071359065845,0.46452815120457874,11.317715148022836,248228.08215093613,0.528585132432907,4430.0,0.0,243798.08215093613
XGBoost scale_pos_weight,0.1,10.0,8859,2178,6681,905,78817,0.24585167626142906,0.7064547518650665,0.36476302126946913,7.063829819952529,332718.90017843246,0.708502689904397,8859.0,0.0,323859.90017843246
XGBoost scale_pos_weight,0.15,15.0,13288,2433,10855,650,74643,0.1830975316074654,0.7891663963671748,0.2972329118563313,5.260772769160199,372726.4261584282,0.7936960460919948,13288.0,0.0,359438.4261584282
XGBoost scale_pos_weight,0.2,20.0,17717,2586,15131,497,70367,0.14596150589828977,0.8387933830684399,0.24865384615384614,4.193777539402013,403572.57515621185,0.8593808614914243,17717.0,0.0,385855.57515621185
