Model,Review_Budget,Review_Budget_Percent,Review_Count,TP_at_K,FP_at_K,FN_at_K,TN_at_K,Precision@K,Recall@K,F1@K,Lift@K,Captured_Fraud_Amount@K,Captured_Fraud_Amount_Rate@K,Review_Cost@K,False_Positive_Cost@K,Expected_Utility@K
HistGradientBoosting SampleWeight,0.01,1.0,886,790,96,2293,85402,0.891647855530474,0.25624391826143367,0.3980851599899219,25.618896753404126,63930.822105407715,0.13613641847574542,886.0,0.0,63044.822105407715
HistGradientBoosting SampleWeight,0.03,3.0,2658,1405,1253,1678,84245,0.5285929270127916,0.4557249432371067,0.48946176624281484,15.18757381372692,155702.5141904354,0.33155811127543494,2658.0,0.0,153044.5141904354
HistGradientBoosting SampleWeight,0.05,5.0,4430,1738,2692,1345,82806,0.3923250564334086,0.563736620175154,0.46266471449487556,11.272314571497816,227895.5952000618,0.48528845860579656,4430.0,0.0,223465.5952000618
HistGradientBoosting SampleWeight,0.1,10.0,8859,2131,6728,952,78770,0.24054633705835873,0.6912098605254622,0.35689164294088094,6.911396394085785,318860.75617933273,0.6789926972493988,8859.0,0.0,310001.75617933273
HistGradientBoosting SampleWeight,0.15,15.0,13288,2378,10910,705,74588,0.17895845875978325,0.7713266299059358,0.29051371327347136,5.141848600519092,362726.13014268875,0.7724010832173523,13288.0,0.0,349438.13014268875
HistGradientBoosting SampleWeight,0.2,20.0,17717,2570,15147,513,70351,0.14505841846813794,0.8336036328251702,0.2471153846153846,4.167829959885218,397039.5871758461,0.8454692996453136,17717.0,0.0,379322.5871758461
