Model,Review_Budget,Review_Budget_Percent,Review_Count,TP_at_K,FP_at_K,FN_at_K,TN_at_K,Precision@K,Recall@K,F1@K,Lift@K,Captured_Fraud_Amount@K,Captured_Fraud_Amount_Rate@K,Review_Cost@K,False_Positive_Cost@K,Expected_Utility@K
Logistic Regression Balanced,0.01,1.0,886,34,852,3049,84646,0.03837471783295711,0.011028219266947779,0.017132779037540943,1.1025854298933422,9543.277009010315,0.020321771404511534,886.0,0.0,8657.277009010315
Logistic Regression Balanced,0.03,3.0,2658,199,2459,2884,83039,0.07486832204665161,0.06454751865066494,0.06932590141090403,2.151122554399756,24246.43203687668,0.05163115864322285,2658.0,0.0,21588.43203687668
Logistic Regression Balanced,0.05,5.0,4430,454,3976,2629,81522,0.10248306997742664,0.14725916315277326,0.12085718088646347,2.9445516774798666,44267.08007597923,0.09426379232206197,4430.0,0.0,39837.08007597923
Logistic Regression Balanced,0.1,10.0,8859,1040,7819,2043,77679,0.11739473981261993,0.3373337658125203,0.17417518003684473,3.3729949553492333,101722.56813430786,0.21661141915439702,8859.0,0.0,92863.56813430786
Logistic Regression Balanced,0.15,15.0,13288,1305,11983,1778,73515,0.098208910295003,0.4232890042166721,0.15942825728422208,2.821746183211697,161731.85707855225,0.3443971945144569,13288.0,0.0,148443.85707855225
Logistic Regression Balanced,0.2,20.0,17717,1540,16177,1543,69321,0.08692216515211379,0.4995134609146935,0.14807692307692308,2.4974545284915317,226919.59503364563,0.4832101313966054,17717.0,0.0,209202.59503364563
