Model,PR_AUC,ROC_AUC,Fraud_Precision,Fraud_Recall,Fraud_F1,MCC,Recall@Precision>=0.80,Threshold@Precision>=0.80,Precision@ThresholdForRecall@P>=0.80,TN,FP,FN,TP,Precision@1%,Recall@1%,F1@1%,Lift@1%,CapturedAmountRate@1%,ExpectedUtility@1%,Precision@3%,Recall@3%,F1@3%,Lift@3%,CapturedAmountRate@3%,ExpectedUtility@3%,Precision@5%,Recall@5%,F1@5%,Lift@5%,CapturedAmountRate@5%,ExpectedUtility@5%,Precision@10%,Recall@10%,F1@10%,Lift@10%,CapturedAmountRate@10%,ExpectedUtility@10%,Precision@15%,Recall@15%,F1@15%,Lift@15%,CapturedAmountRate@15%,ExpectedUtility@15%,Precision@20%,Recall@20%,F1@20%,Lift@20%,CapturedAmountRate@20%,ExpectedUtility@20%,Selected_Threshold_from_Val,Val_Best_Fraud_Precision,Val_Best_Fraud_Recall,Val_Best_Fraud_F1,Train_Time_Seconds,Prediction_File,Review_Budget_Detail_File
LightGBM scale_pos_weight,0.5430971781269645,0.9055642647351401,0.5290775401069518,0.5134609146934804,0.5211522633744856,0.5042138286230056,0.3480376256892637,0.8581195181066685,0.8001491424310216,84089,1409,1500,1583,0.8848758465011287,0.2542977619202076,0.3950617283950617,25.424322854011184,0.14542458043809234,67406.62210536003,0.5696012039127163,0.49108011676938046,0.5274342449050688,16.36582687116196,0.3984178457007493,184442.41517400742,0.4076749435665914,0.5857930587090496,0.4807666711034207,11.713348743455152,0.5223439148358332,240867.15318727493,0.2476577491816232,0.7116445021083361,0.36744263942388206,7.115722050034825,0.6954936586298928,317750.7482447624,0.17903371462974113,0.7716509892961402,0.2906358805204325,5.144010858130749,0.7769567674476863,351577.5182752609,0.14280069989275837,0.8206292572169964,0.2432692307692308,4.102961011093231,0.8389740110874458,376272.34432411194,0.5948789233413447,0.6316939890710382,0.5700197238658777,0.5992742353551063,129.143,D:\project\data\merge_paper_ready_tree_cost\ml_baseline_results\pred_LightGBM_scale_pos_weight.csv,D:\project\data\merge_paper_ready_tree_cost\ml_baseline_results\review_budget_detail_LightGBM_scale_pos_weight.csv
XGBoost scale_pos_weight,0.519434132037779,0.9066935436259207,0.5424184261036469,0.45831981835874147,0.49683544303797467,0.48208629006625214,0.3091144988647421,0.9196521639823914,0.8001679261125105,84306,1192,1670,1413,0.8781038374717833,0.2523516055789815,0.3920382968002015,25.22974895461824,0.13904238353751827,64409.48805952072,0.536869826937547,0.46286084982160236,0.4971259362480404,15.425386357429405,0.3758924558709134,173864.30017590523,0.3939051918735892,0.5660071359065845,0.46452815120457874,11.317715148022836,0.528585132432907,243798.08215093613,0.24585167626142906,0.7064547518650665,0.36476302126946913,7.063829819952529,0.708502689904397,323859.90017843246,0.1830975316074654,0.7891663963671748,0.2972329118563313,5.260772769160199,0.7936960460919948,359438.4261584282,0.14596150589828977,0.8387933830684399,0.24865384615384614,4.193777539402013,0.8593808614914243,385855.57515621185,0.7704899907112122,0.6083401471790678,0.4891518737672584,0.5422740524781341,189.216,D:\project\data\merge_paper_ready_tree_cost\ml_baseline_results\pred_XGBoost_scale_pos_weight.csv,D:\project\data\merge_paper_ready_tree_cost\ml_baseline_results\review_budget_detail_XGBoost_scale_pos_weight.csv
CatBoost class_weights,0.517234695405993,0.907545509616449,0.5880118193330519,0.45183263055465456,0.5110051357300074,0.500336954418079,0.322088874472916,0.919642177715408,0.8001611603545528,84522,976,1690,1393,0.8702031602708804,0.25008108984755106,0.38851095993953133,25.002746071993144,0.12974226907817865,60042.075065135956,0.5477802859292701,0.4722672721375284,0.5072287058003833,15.738866528673588,0.35071617504928393,162041.30418038368,0.39480812641083524,0.5673045734674019,0.465592972181552,11.343658334608563,0.48298870473778566,222385.61118793488,0.24461000112879558,0.7028867985728187,0.36292078378831016,7.028153911770951,0.6819662826156543,311398.1772046089,0.18362432269717038,0.7914369120986052,0.2980880825850589,5.275908572441794,0.7848792598323503,355297.98820495605,0.14709036518597957,0.8452805708725267,0.2505769230769231,4.2262120137980075,0.8490233983026542,380991.62218904495,0.7808881380527625,0.6466399643969737,0.47764628533859305,0.5494422386084326,350.47,D:\project\data\merge_paper_ready_tree_cost\ml_baseline_results\pred_CatBoost_class_weights.csv,D:\project\data\merge_paper_ready_tree_cost\ml_baseline_results\review_budget_detail_CatBoost_class_weights.csv
HistGradientBoosting SampleWeight,0.5135528770971766,0.90419280700938,0.5134943181818182,0.4690236782354849,0.4902525851839295,0.4732509410804681,0.3334414531300681,0.9269207247423843,0.8,84128,1370,1637,1446,0.891647855530474,0.25624391826143367,0.3980851599899219,25.618896753404126,0.13613641847574542,63044.822105407715,0.5285929270127916,0.4557249432371067,0.48946176624281484,15.18757381372692,0.33155811127543494,153044.5141904354,0.3923250564334086,0.563736620175154,0.46266471449487556,11.272314571497816,0.48528845860579656,223465.5952000618,0.24054633705835873,0.6912098605254622,0.35689164294088094,6.911396394085785,0.6789926972493988,310001.75617933273,0.17895845875978325,0.7713266299059358,0.29051371327347136,5.141848600519092,0.7724010832173523,349438.13014268875,0.14505841846813794,0.8336036328251702,0.2471153846153846,4.167829959885218,0.8454692996453136,379322.5871758461,0.8074529286225763,0.577734375,0.48619329388560156,0.5280257051053195,212.867,D:\project\data\merge_paper_ready_tree_cost\ml_baseline_results\pred_HistGradientBoosting_SampleWeight.csv,D:\project\data\merge_paper_ready_tree_cost\ml_baseline_results\review_budget_detail_HistGradientBoosting_SampleWeight.csv
Logistic Regression Balanced,0.07950222499200842,0.6866566700431436,0.11551950898728627,0.3418747972753811,0.17268780208077333,0.14923055435230115,0.0009730781706130393,0.9999999784592382,1.0,77428,8070,2029,1054,0.03837471783295711,0.011028219266947779,0.017132779037540943,1.1025854298933422,0.020321771404511534,8657.277009010315,0.07486832204665161,0.06454751865066494,0.06932590141090403,2.151122554399756,0.05163115864322285,21588.43203687668,0.10248306997742664,0.14725916315277326,0.12085718088646347,2.9445516774798666,0.09426379232206197,39837.08007597923,0.11739473981261993,0.3373337658125203,0.17417518003684473,3.3729949553492333,0.21661141915439702,92863.56813430786,0.098208910295003,0.4232890042166721,0.15942825728422208,2.821746183211697,0.3443971945144569,148443.85707855225,0.08692216515211379,0.4995134609146935,0.14807692307692308,2.4974545284915317,0.4832101313966054,209202.59503364563,0.7117220726693376,0.16630499112250938,0.27712031558185407,0.20786586117618053,2361.24,D:\project\data\merge_paper_ready_tree_cost\ml_baseline_results\pred_Logistic_Regression_Balanced.csv,D:\project\data\merge_paper_ready_tree_cost\ml_baseline_results\review_budget_detail_Logistic_Regression_Balanced.csv
