Model,Best_Epoch,Tuning_Config,Selection_Objective,Best_Val_Selection_Score,Best_Val_PR_AUC,Selected_Threshold_from_Val,Val_Best_Fraud_Precision,Val_Best_Fraud_Recall,Val_Best_Fraud_F1,Train_Time_Seconds,Checkpoint_File,History_File,Prediction_File,Review_Budget_Detail_File,PR_AUC,ROC_AUC,Fraud_Precision,Fraud_Recall,Fraud_F1,MCC,Recall@Precision>=0.80,Threshold@Precision>=0.80,Selected_Threshold,TN,FP,FN,TP,Precision@1%,Recall@1%,F1@1%,Lift@1%,CapturedAmountRate@1%,ExpectedUtility@1%,Precision@3%,Recall@3%,F1@3%,Lift@3%,CapturedAmountRate@3%,ExpectedUtility@3%,Precision@5%,Recall@5%,F1@5%,Lift@5%,CapturedAmountRate@5%,ExpectedUtility@5%,Precision@10%,Recall@10%,F1@10%,Lift@10%,CapturedAmountRate@10%,ExpectedUtility@10%,Precision@15%,Recall@15%,F1@15%,Lift@15%,CapturedAmountRate@15%,ExpectedUtility@15%,Precision@20%,Recall@20%,F1@20%,Lift@20%,CapturedAmountRate@20%,ExpectedUtility@20%,Result_File,Config_Name,Config_Seed,Config_KD_Weight,Config_Lambda_SupCon
tree_guided_moe_kd_focal_supcon,1,E_kd020_sup005_pr_auc_seed42,PR_AUC,0.6151262390128607,0.6151262390128607,0.5734460949897766,0.6794453507340946,0.5476660092044707,0.6064797961412449,160.608,D:\project\data\merge_paper_ready_tree_cost\proposed_tree_guided_moe_tuning\E_kd020_sup005_pr_auc_seed42\best_tree_guided_moe_kd_focal_supcon.pt,D:\project\data\merge_paper_ready_tree_cost\proposed_tree_guided_moe_tuning\E_kd020_sup005_pr_auc_seed42\history_tree_guided_moe_kd_focal_supcon.csv,D:\project\data\merge_paper_ready_tree_cost\proposed_tree_guided_moe_tuning\E_kd020_sup005_pr_auc_seed42\pred_tree_guided_moe_kd_focal_supcon.csv,D:\project\data\merge_paper_ready_tree_cost\proposed_tree_guided_moe_tuning\E_kd020_sup005_pr_auc_seed42\review_budget_detail_tree_guided_moe_kd_focal_supcon.csv,0.5355205448282916,0.8984851034029192,0.5807183364839319,0.4982160233538761,0.5363128491620112,0.5225470105459015,0.3658773921505027,0.7213319540023804,0.5734460949897766,84389,1109,1547,1536,0.8758465011286681,0.2517028867985728,0.3910304862685815,25.164890988153925,0.1436093131198439,66554.15710520744,0.5782543265613243,0.4985403827440804,0.5354467862741683,16.61444907594183,0.3822944585136542,176870.73516702652,0.3988713318284424,0.5731430424910802,0.4703846665779315,11.460402674244326,0.4952688843642554,228152.4881772995,0.2395304210407495,0.6882906260136231,0.3553843577290236,6.882207014664493,0.6787942789347556,309908.57724809647,0.1749698976520168,0.7541355822251055,0.2840388491845336,5.0272489471013,0.7696245303656319,348134.23726511,0.1413896257831461,0.8125202724618877,0.2408653846153846,4.062417918098237,0.8589919887023839,385672.95718097687,D:\project\data\merge_paper_ready_tree_cost\proposed_tree_guided_moe_tuning\E_kd020_sup005_pr_auc_seed42\E_kd020_sup005_pr_auc_seed42_final.csv,E_kd020_sup005_pr_auc_seed42,42,,
tree_guided_moe_kd_focal_supcon,10,,,,0.6188447923307929,0.5221917629241943,0.6747135842880524,0.542077580539119,0.6011666059059424,758.665,D:\project\data\merge_paper_ready_tree_cost\proposed_tree_guided_moe_final_3seeds\E_kd020_sup005_pr_auc_seed2024\best_tree_guided_moe_kd_focal_supcon.pt,D:\project\data\merge_paper_ready_tree_cost\proposed_tree_guided_moe_final_3seeds\E_kd020_sup005_pr_auc_seed2024\history_tree_guided_moe_kd_focal_supcon.csv,D:\project\data\merge_paper_ready_tree_cost\proposed_tree_guided_moe_final_3seeds\E_kd020_sup005_pr_auc_seed2024\pred_tree_guided_moe_kd_focal_supcon.csv,D:\project\data\merge_paper_ready_tree_cost\proposed_tree_guided_moe_final_3seeds\E_kd020_sup005_pr_auc_seed2024\review_budget_detail_tree_guided_moe_kd_focal_supcon.csv,0.5377551580408957,0.9028465152291963,0.5695439125518281,0.4901070385987674,0.5268479776847977,0.5126482345039153,0.3542004541031462,0.7118462324142456,0.5221917629241943,84356,1142,1572,1511,0.8893905191873589,0.255595199481025,0.3970773494583018,25.554038786939813,0.1465397752248025,67930.32707953453,0.5684725357411587,0.4901070385987674,0.5263891308134471,16.333397887929802,0.3966422369627879,183608.57418107984,0.3932279909706546,0.5650340577359715,0.4637295354718488,11.298257758083542,0.4956034545664383,228309.60519504547,0.2431425668811378,0.6986701265001621,0.3607435940378496,6.985991474829086,0.6905207633766043,315415.4342608452,0.1763245033112583,0.7599740512487837,0.2862378596298333,5.066169584111116,0.7669151736268405,346861.9002547264,0.1410509679968392,0.8105741161206617,0.2402884615384615,4.05268757577944,0.8275094788647323,370888.50230550766,D:\project\data\merge_paper_ready_tree_cost\proposed_tree_guided_moe_final_3seeds\E_kd020_sup005_pr_auc_seed2024\proposed_only_results_final.csv,E_kd020_sup005_pr_auc_seed2024,2024,0.2,0.005
tree_guided_moe_kd_focal_supcon,2,,,,0.6214750717074222,0.5400688648223877,0.7099911582670203,0.5279421433267587,0.6055806938159879,364.152,D:\project\data\merge_paper_ready_tree_cost\proposed_tree_guided_moe_final_3seeds\E_kd020_sup005_pr_auc_seed3407\best_tree_guided_moe_kd_focal_supcon.pt,D:\project\data\merge_paper_ready_tree_cost\proposed_tree_guided_moe_final_3seeds\E_kd020_sup005_pr_auc_seed3407\history_tree_guided_moe_kd_focal_supcon.csv,D:\project\data\merge_paper_ready_tree_cost\proposed_tree_guided_moe_final_3seeds\E_kd020_sup005_pr_auc_seed3407\pred_tree_guided_moe_kd_focal_supcon.csv,D:\project\data\merge_paper_ready_tree_cost\proposed_tree_guided_moe_final_3seeds\E_kd020_sup005_pr_auc_seed3407\review_budget_detail_tree_guided_moe_kd_focal_supcon.csv,0.533039037142266,0.90143822003731,0.6059092800665834,0.4722672721375284,0.5308056872037915,0.5203199324623776,0.3545248134933506,0.6728442907333374,0.5400688648223877,84551,947,1627,1456,0.8826185101580135,0.2536490431397989,0.3940539178634417,25.359464887546867,0.1514106281156509,70217.72110056877,0.5684725357411587,0.4901070385987674,0.5263891308134471,16.333397887929802,0.3863922653622769,178795.10017967224,0.3963882618510158,0.5695750891988323,0.4674564088912551,11.38905891113358,0.4909064806244558,226103.86620998383,0.2351281182977762,0.6756406097956535,0.3488527884776419,6.755719703838897,0.641499080360322,292394.43421316147,0.1747441300421433,0.7531625040544924,0.2836723474436504,5.02076217426633,0.7678083920331992,347281.36322927475,0.1410509679968392,0.8105741161206617,0.2402884615384615,4.05268757577944,0.8445926951199378,378910.9262213707,D:\project\data\merge_paper_ready_tree_cost\proposed_tree_guided_moe_final_3seeds\E_kd020_sup005_pr_auc_seed3407\proposed_only_results_final.csv,E_kd020_sup005_pr_auc_seed3407,3407,0.2,0.005
