Model,Review_Budget,Review_Budget_Percent,Review_Count,TP_at_K,FP_at_K,FN_at_K,TN_at_K,Precision@K,Recall@K,F1@K,Lift@K,Captured_Fraud_Amount@K,Captured_Fraud_Amount_Rate@K,Review_Cost@K,False_Positive_Cost@K,Expected_Utility@K
tree_guided_moe_kd_focal_supcon,0.01,1.0,886,783,103,2300,85395,0.8837471783295711,0.2539734025300032,0.3945578231292517,25.391893870779025,68692.0171046257,0.14627506543056598,886.0,0.0,67806.0171046257
tree_guided_moe_kd_focal_supcon,0.03,3.0,2658,1494,1164,1589,84334,0.5620767494356659,0.48459292896529355,0.520466817627591,16.149633649614245,176837.1061668396,0.3765628142162175,2658.0,0.0,174179.1061668396
tree_guided_moe_kd_focal_supcon,0.05,5.0,4430,1722,2708,1361,82790,0.3887133182844244,0.5585468699318845,0.4584054305869826,11.168541825154913,225414.582198143,0.4800053070186623,4430.0,0.0,220984.582198143
tree_guided_moe_kd_focal_supcon,0.1,10.0,8859,2107,6752,976,78746,0.2378372276780675,0.6834252351605579,0.35287221570926147,6.833558048962341,312416.222237587,0.6652694923744776,8859.0,0.0,303557.222237587
tree_guided_moe_kd_focal_supcon,0.15,15.0,13288,2314,10974,769,74524,0.17414208308248044,0.7505676289328576,0.28269500946796167,5.003464113373078,358424.7042655945,0.7632414839198334,13288.0,0.0,345136.7042655945
tree_guided_moe_kd_focal_supcon,0.2,20.0,17717,2471,15246,612,70252,0.13947056499407348,0.80149205319494,0.23759615384615382,4.007279311625048,388488.99529504776,0.8272613849624644,17717.0,0.0,370771.99529504776
