Model,Review_Budget,Review_Budget_Percent,Review_Count,TP_at_K,FP_at_K,FN_at_K,TN_at_K,Precision@K,Recall@K,F1@K,Lift@K,Captured_Fraud_Amount@K,Captured_Fraud_Amount_Rate@K,Review_Cost@K,False_Positive_Cost@K,Expected_Utility@K
concat_bce,0.01,1.0,886,696,190,2387,85308,0.7855530474040632,0.2257541355822251,0.3507180650037793,22.570572329581356,77162.74899101257,0.16431292358573993,886.0,0.0,76276.74899101257
concat_bce,0.03,3.0,2658,1350,1308,1733,84190,0.5079006772009029,0.43788517677586763,0.4703013412297509,14.593042454470705,171796.46508479118,0.36582910548022846,2658.0,0.0,169138.46508479118
concat_bce,0.05,5.0,4430,1595,2835,1488,82663,0.3600451467268623,0.5173532273759325,0.42459736456808195,10.34484565105812,214717.49917387962,0.45722658271788824,4430.0,0.0,210287.49917387962
concat_bce,0.1,10.0,8859,1915,6944,1168,78554,0.21616435263573766,0.6211482322413234,0.32071679785630547,6.210851287974791,287582.3932020664,0.6123875110296957,8859.0,0.0,278723.3932020664
concat_bce,0.15,15.0,13288,2137,11151,946,74347,0.1608217940999398,0.6931560168666883,0.2610714067558488,4.620744516109882,326660.82222151756,0.6956024172543525,13288.0,0.0,313372.82222151756
concat_bce,0.2,20.0,17717,2283,15434,800,70064,0.12885928768978946,0.7405124878365229,0.21951923076923074,3.7023952523027055,353819.7311964035,0.7534355011376427,17717.0,0.0,336102.7311964035
