Model,Review_Budget,Review_Budget_Percent,Review_Count,TP_at_K,FP_at_K,FN_at_K,TN_at_K,Precision@K,Recall@K,F1@K,Lift@K,Captured_Fraud_Amount@K,Captured_Fraud_Amount_Rate@K,Review_Cost@K,False_Positive_Cost@K,Expected_Utility@K
moe_bce,0.01,1.0,886,670,216,2413,85282,0.7562076749435666,0.2173207914369121,0.3376165280927186,21.72741876554527,73344.88501691818,0.15618303708429884,886.0,0.0,72458.88501691818
moe_bce,0.03,3.0,2658,1265,1393,1818,84105,0.4759217456734387,0.4103146286084982,0.4406897753004703,13.674221262892921,163366.129021883,0.3478772675348479,2658.0,0.0,160708.129021883
moe_bce,0.05,5.0,4430,1517,2913,1566,82585,0.3424379232505643,0.4920531949399935,0.40383335551710364,9.83895351263647,209096.02308392525,0.44525602460162256,4430.0,0.0,204666.02308392525
moe_bce,0.1,10.0,8859,1816,7043,1267,78455,0.20498927644203635,0.5890366526110931,0.30413666052587507,5.889768114340584,262083.69017481804,0.558089724897948,8859.0,0.0,253224.69017481804
moe_bce,0.15,15.0,13288,2042,11246,1041,74252,0.1536724864539434,0.6623418747972754,0.24946551829454522,4.415330043002517,316315.297198534,0.6735723122518227,13288.0,0.0,303027.297198534
moe_bce,0.2,20.0,17717,2162,15555,921,69943,0.12202968899926624,0.701265001621797,0.20788461538461536,3.506166682206942,336073.00620913506,0.7156450348198885,17717.0,0.0,318356.00620913506
