Model,Review_Budget,Review_Budget_Percent,Review_Count,TP_at_K,FP_at_K,FN_at_K,TN_at_K,Precision@K,Recall@K,F1@K,Lift@K,Captured_Fraud_Amount@K,Captured_Fraud_Amount_Rate@K,Review_Cost@K,False_Positive_Cost@K,Expected_Utility@K
moe_focal,0.01,1.0,886,725,161,2358,85337,0.8182844243792325,0.23516055789815116,0.36533131771227007,23.511012843313914,68483.20503950119,0.14583041407548555,886.0,0.0,67597.20503950119
moe_focal,0.03,3.0,2658,1286,1372,1797,84126,0.48382242287434163,0.4171261758027895,0.44800557394182206,13.90122414551802,142744.87509536743,0.30396568370747096,2658.0,0.0,140086.87509536743
moe_focal,0.05,5.0,4430,1513,2917,1570,82581,0.3415349887133183,0.49075575737917615,0.40276853454013045,9.813010326050746,176458.50615763664,0.3757566107670769,4430.0,0.0,172028.50615763664
moe_focal,0.1,10.0,8859,1801,7058,1282,78440,0.20329608307935432,0.5841712617580279,0.3016245185061129,5.841119148638431,235032.18195319176,0.5004853437500341,8859.0,0.0,226173.18195319176
moe_focal,0.15,15.0,13288,2006,11282,1077,74216,0.15096327513546057,0.6506649367499189,0.245067497403946,4.337488768982884,276213.83801960945,0.5881789315868755,13288.0,0.0,262925.83801960945
moe_focal,0.2,20.0,17717,2167,15550,916,69948,0.12231190382118869,0.7028867985728187,0.2083653846153846,3.5142753008059406,313082.5500123501,0.6666883928953813,17717.0,0.0,295365.5500123501
