Model,Review_Budget,Review_Budget_Percent,Review_Count,TP_at_K,FP_at_K,FN_at_K,TN_at_K,Precision@K,Recall@K,F1@K,Lift@K,Captured_Fraud_Amount@K,Captured_Fraud_Amount_Rate@K,Review_Cost@K,False_Positive_Cost@K,Expected_Utility@K
moe_focal_supcon,0.01,1.0,886,690,196,2393,85302,0.7787810383747178,0.22380797924099902,0.3476946334089191,22.375998430188414,65372.621007442474,0.13920663300171618,886.0,0.0,64486.621007442474
moe_focal_supcon,0.03,3.0,2658,1295,1363,1788,84135,0.4872084273890143,0.4200454103146286,0.45114091621668695,13.998511095214491,153215.44311618805,0.3262620594276358,2658.0,0.0,150557.44311618805
moe_focal_supcon,0.05,5.0,4430,1560,2870,1523,82628,0.35214446952595935,0.5060006487187804,0.41528018101956604,10.117842768433022,194419.08511400223,0.4140024648378887,4430.0,0.0,189989.08511400223
moe_focal_supcon,0.1,10.0,8859,1885,6974,1198,78524,0.21277796591037362,0.611417450535193,0.3156925138167811,6.113553356570486,273946.6441206932,0.5833510935077777,8859.0,0.0,265087.6441206932
moe_focal_supcon,0.15,15.0,13288,2078,11210,1005,74288,0.15638169777242625,0.6740188128446318,0.2538635391851444,4.49317131702215,309564.14810180664,0.6591961908700442,13288.0,0.0,296276.14810180664
moe_focal_supcon,0.2,20.0,17717,2252,15465,831,70033,0.1271095557938703,0.7304573467401881,0.2165384615384615,3.652121816988915,348124.4491250515,0.7413077781103269,17717.0,0.0,330407.4491250515
