Model,Review_Budget,Review_Budget_Percent,Review_Count,TP_at_K,FP_at_K,FN_at_K,TN_at_K,Precision@K,Recall@K,F1@K,Lift@K,Captured_Fraud_Amount@K,Captured_Fraud_Amount_Rate@K,Review_Cost@K,False_Positive_Cost@K,Expected_Utility@K
deepfm_only_bce,0.01,1.0,886,193,693,2890,84805,0.2178329571106095,0.06260136230943886,0.09725371630133535,6.258793763806325,19740.060970306396,0.042035142244214105,886.0,0.0,18854.060970306396
deepfm_only_bce,0.03,3.0,2658,970,1688,2113,83810,0.3649360421369451,0.314628608498216,0.3379202229576729,10.485371245064137,102005.96502375603,0.2172148939145531,2658.0,0.0,99347.96502375603
deepfm_only_bce,0.05,5.0,4430,1413,3017,1670,82481,0.31896162528216704,0.45831981835874147,0.37614801011579924,9.164430661407602,175854.9871919155,0.37447145741272153,4430.0,0.0,171424.9871919155
deepfm_only_bce,0.1,10.0,8859,1819,7040,1264,78458,0.20532791511457274,0.5900097307817062,0.3046390889298275,5.899497907481015,262634.7331671715,0.5592631341696365,8859.0,0.0,253775.73316717148
deepfm_only_bce,0.15,15.0,13288,2038,11250,1045,74248,0.15337146297411197,0.661044437236458,0.2489768493067009,4.406681012555891,308493.66307783127,0.656916664463272,13288.0,0.0,295205.66307783127
deepfm_only_bce,0.2,20.0,17717,2179,15538,904,69960,0.12298921939380256,0.7067791112552708,0.20951923076923074,3.533735985443537,332939.0050690174,0.708971388577532,17717.0,0.0,315222.0050690174
