Model,Review_Budget,Review_Budget_Percent,Review_Count,TP_at_K,FP_at_K,FN_at_K,TN_at_K,Precision@K,Recall@K,F1@K,Lift@K,Captured_Fraud_Amount@K,Captured_Fraud_Amount_Rate@K,Review_Cost@K,False_Positive_Cost@K,Expected_Utility@K
cnn_only_bce,0.01,1.0,886,722,164,2361,85334,0.8148984198645598,0.23418747972753812,0.36381960191484003,23.413725893617443,73447.73305106163,0.15640204510819808,886.0,0.0,72561.73305106163
cnn_only_bce,0.03,3.0,2658,1315,1343,1768,84155,0.49473288186606473,0.4265325981187155,0.4581083434941648,14.214704316762205,157350.13715934753,0.33506661441365904,2658.0,0.0,154692.13715934753
cnn_only_bce,0.05,5.0,4430,1505,2925,1578,82573,0.3397291196388262,0.48816088225754134,0.4006388925861839,9.761123952879293,190127.7121808529,0.40486427261349545,4430.0,0.0,185697.7121808529
cnn_only_bce,0.1,10.0,8859,1793,7066,1290,78432,0.20239304661925725,0.5815763866363931,0.30028470942890634,5.815173033597284,260814.38013100624,0.5553868138824299,8859.0,0.0,251955.38013100624
cnn_only_bce,0.15,15.0,13288,1958,11330,1125,74168,0.14735099337748345,0.6350956860201102,0.2392034695498137,4.233700403623374,296589.78611016273,0.6315681530100268,13288.0,0.0,283301.78611016273
cnn_only_bce,0.2,20.0,17717,2105,15612,978,69886,0.11881244002935035,0.6827765163801492,0.20240384615384618,3.41372843017836,321102.81613373756,0.6837670142712777,17717.0,0.0,303385.81613373756
