Model,Review_Budget,Review_Budget_Percent,Review_Count,TP_at_K,FP_at_K,FN_at_K,TN_at_K,Precision@K,Recall@K,F1@K,Lift@K,Captured_Fraud_Amount@K,Captured_Fraud_Amount_Rate@K,Review_Cost@K,False_Positive_Cost@K,Expected_Utility@K
tree_guided_moe_kd,0.01,1.0,886,778,108,2305,85390,0.8781038374717833,0.2523516055789815,0.3920382968002015,25.22974895461824,67635.18609571457,0.14402461433750705,886.0,0.0,66749.18609571457
tree_guided_moe_kd,0.03,3.0,2658,1476,1182,1607,84316,0.5553047404063205,0.4787544599416153,0.5141961330778609,15.955059750221302,179134.73017334938,0.38145545117831403,2658.0,0.0,176476.73017334938
tree_guided_moe_kd,0.05,5.0,4430,1744,2686,1339,82812,0.39367945823927764,0.5656827765163801,0.4642619459603354,11.311229351376404,234097.67619276047,0.49849537610875594,4430.0,0.0,229667.67619276047
tree_guided_moe_kd,0.1,10.0,8859,2131,6728,952,78770,0.24054633705835873,0.6912098605254622,0.35689164294088094,6.911396394085785,316725.8672504425,0.6744465937729966,8859.0,0.0,307866.8672504425
tree_guided_moe_kd,0.15,15.0,13288,2330,10958,753,74540,0.17534617700180613,0.7557573791761272,0.2846496854193391,5.038060235159581,358826.7002658844,0.7640975075703788,13288.0,0.0,345538.7002658844
tree_guided_moe_kd,0.2,20.0,17717,2490,15227,593,70271,0.1405429813173788,0.8076548816088226,0.23942307692307696,4.038092062301243,389095.7263183594,0.8285533781790632,17717.0,0.0,371378.7263183594
