Model,PR_AUC,ROC_AUC,Fraud_Precision,Fraud_Recall,Fraud_F1,MCC,Recall@Precision>=0.80,Precision@1%,Recall@1%,CapturedAmountRate@1%,ExpectedUtility@1%,Precision@3%,Recall@3%,CapturedAmountRate@3%,ExpectedUtility@3%,Precision@5%,Recall@5%,CapturedAmountRate@5%,ExpectedUtility@5%,Precision@10%,Recall@10%,CapturedAmountRate@10%,ExpectedUtility@10%,Selected_Threshold_from_Val,TN,FP,FN,TP,Best_Epoch,Best_Val_PR_AUC,Train_Time_Seconds
tree_guided_moe_kd_focal_supcon,0.5398115103859441,0.903384759548884,0.5644983461962514,0.4982160233538761,0.5292901447277739,0.514481492025096,0.35387609471294196,0.8882618510158014,0.2552708400908206,0.14414083028920238,66803.76209688187,0.571482317531979,0.49270191372040223,0.394843804956314,182764.01518678665,0.3993227990970655,0.5737917612714888,0.5144469521042578,237158.67220020294,0.2416751326334801,0.6944534544275057,0.6825929578734472,311692.4692454338,0.5552264451980591,84313,1185,1547,1536,14,0.6198145673459081,505.17
tree_guided_moe_kd_focal,0.5365753337772124,0.8999994400401647,0.547752808988764,0.5060006487187804,0.5260495700556399,0.5100885669749687,0.3499837820304898,0.8905191873589164,0.2559195588712293,0.1445778091446298,67008.97109079361,0.5707298720842738,0.4920531949399935,0.3887864638331003,179919.4361820221,0.4024830699774266,0.5783327927343497,0.5123873940337903,236191.48618125916,0.2411107348459194,0.6928316574764839,0.6844005720190312,312541.3402504921,0.5989816188812256,84210,1288,1523,1560,7,0.6206026374987215,299.633
tree_guided_moe_kd,0.5302719871133105,0.9002721776588363,0.5712589073634204,0.46805060006487187,0.5145302192904261,0.5014613136739594,0.3597145637366202,0.8781038374717833,0.2523516055789815,0.14402461433750705,66749.18609571457,0.5553047404063205,0.4787544599416153,0.38145545117831403,176476.73017334938,0.39367945823927764,0.5656827765163801,0.49849537610875594,229667.67619276047,0.24054633705835873,0.6912098605254622,0.6744465937729966,307866.8672504425,0.43448424339294434,84415,1083,1640,1443,4,0.6122807544017642,248.545
concat_bce,0.45257155115409375,0.8654049070706817,0.5215500197706603,0.4278300356795329,0.470064148253742,0.4552730125146802,0.21472591631527732,0.7855530474040632,0.2257541355822251,0.16431292358573993,76276.74899101257,0.5079006772009029,0.43788517677586763,0.36582910548022846,169138.46508479118,0.3600451467268623,0.5173532273759325,0.45722658271788824,210287.49917387962,0.21616435263573766,0.6211482322413234,0.6123875110296957,278723.3932020664,0.9515876770019531,84288,1210,1764,1319,9,0.5409373181066438,625.436
moe_focal,0.4364286997678103,0.8467340555059959,0.525706940874036,0.39798897178073306,0.4530182757984124,0.44060521288645477,0.24359390204346415,0.8182844243792325,0.23516055789815116,0.14583041407548555,67597.20503950119,0.48382242287434163,0.4171261758027895,0.30396568370747096,140086.87509536743,0.3415349887133183,0.49075575737917615,0.3757566107670769,172028.50615763664,0.20329608307935432,0.5841712617580279,0.5004853437500341,226173.18195319176,0.7931942939758301,84391,1107,1856,1227,18,0.5273486748251998,1011.057
moe_focal_supcon,0.43443454969985307,0.8537426224438107,0.5007961783439491,0.40804411287706777,0.44968722073279715,0.4343507961750319,0.20661693156016867,0.7787810383747178,0.22380797924099902,0.13920663300171618,64486.621007442474,0.4872084273890143,0.4200454103146286,0.3262620594276358,150557.44311618805,0.35214446952595935,0.5060006487187804,0.4140024648378887,189989.08511400223,0.21277796591037362,0.611417450535193,0.5833510935077777,265087.6441206932,0.7751962542533875,84244,1254,1825,1258,19,0.5355308001267589,965.27
cnn_only_bce,0.43231764953903873,0.8285269405971465,0.5557059088858818,0.3996107687317548,0.4649056603773585,0.4553527950839849,0.2426208238728511,0.8148984198645598,0.23418747972753812,0.15640204510819808,72561.73305106163,0.49473288186606473,0.4265325981187155,0.33506661441365904,154692.13715934753,0.3397291196388262,0.48816088225754134,0.40486427261349545,185697.7121808529,0.20239304661925725,0.5815763866363931,0.5553868138824299,251955.38013100624,0.9030058979988098,84513,985,1851,1232,11,0.47633920907604366,612.591
moe_bce,0.4136295187256912,0.8304979252387913,0.5,0.3973402530003244,0.44279775890113865,0.42807003139809674,0.18747972753811223,0.7562076749435666,0.2173207914369121,0.15618303708429884,72458.88501691818,0.4759217456734387,0.4103146286084982,0.3478772675348479,160708.129021883,0.3424379232505643,0.4920531949399935,0.44525602460162256,204666.02308392525,0.20498927644203635,0.5890366526110931,0.558089724897948,253224.69017481804,0.8864296078681946,84273,1225,1858,1225,19,0.5268581361581098,954.23
deepfm_only_bce,0.21350530020929454,0.8265827740860939,0.34952540480178673,0.4060979565358417,0.3756939234808702,0.3524987518810612,0.0,0.2178329571106095,0.06260136230943886,0.042035142244214105,18854.060970306396,0.3649360421369451,0.314628608498216,0.2172148939145531,99347.96502375603,0.31896162528216704,0.45831981835874147,0.37447145741272153,171424.9871919155,0.20532791511457274,0.5900097307817062,0.5592631341696365,253775.73316717148,0.9575095176696777,83168,2330,1831,1252,16,0.533766856627733,793.309
