Model,Best_Epoch,Best_Val_PR_AUC,Selected_Threshold_from_Val,Val_Best_Fraud_Precision,Val_Best_Fraud_Recall,Val_Best_Fraud_F1,Train_Time_Seconds,Checkpoint_File,History_File,Prediction_File,Review_Budget_Detail_File,PR_AUC,ROC_AUC,Fraud_Precision,Fraud_Recall,Fraud_F1,MCC,Recall@Precision>=0.80,Threshold@Precision>=0.80,Selected_Threshold,TN,FP,FN,TP,Precision@1%,Recall@1%,F1@1%,Lift@1%,CapturedAmountRate@1%,ExpectedUtility@1%,Precision@3%,Recall@3%,F1@3%,Lift@3%,CapturedAmountRate@3%,ExpectedUtility@3%,Precision@5%,Recall@5%,F1@5%,Lift@5%,CapturedAmountRate@5%,ExpectedUtility@5%,Precision@10%,Recall@10%,F1@10%,Lift@10%,CapturedAmountRate@10%,ExpectedUtility@10%,Precision@15%,Recall@15%,F1@15%,Lift@15%,CapturedAmountRate@15%,ExpectedUtility@15%,Precision@20%,Recall@20%,F1@20%,Lift@20%,CapturedAmountRate@20%,ExpectedUtility@20%
tree_guided_moe_kd_focal_supcon,14,0.6198145673459081,0.5552264451980591,0.6698795180722892,0.5483234714003945,0.6030368763557484,505.17,D:\project\data\merge_paper_ready_tree_cost\dl_tree_guided_moe_results\best_tree_guided_moe_kd_focal_supcon.pt,D:\project\data\merge_paper_ready_tree_cost\dl_tree_guided_moe_results\history_tree_guided_moe_kd_focal_supcon.csv,D:\project\data\merge_paper_ready_tree_cost\dl_tree_guided_moe_results\pred_tree_guided_moe_kd_focal_supcon.csv,D:\project\data\merge_paper_ready_tree_cost\dl_tree_guided_moe_results\review_budget_detail_tree_guided_moe_kd_focal_supcon.csv,0.5398115103859441,0.903384759548884,0.5644983461962514,0.4982160233538761,0.5292901447277739,0.514481492025096,0.35387609471294196,0.7611071467399597,0.5552264451980591,84313,1185,1547,1536,0.8882618510158014,0.2552708400908206,0.39657344419249185,25.521609803707655,0.14414083028920238,66803.76209688187,0.571482317531979,0.49270191372040223,0.5291761017244383,16.419875176548892,0.394843804956314,182764.01518678665,0.3993227990970655,0.5737917612714888,0.4709170770664182,11.47337426753719,0.5144469521042578,237158.67220020294,0.2416751326334801,0.6944534544275057,0.3585664042873891,6.9438290378872205,0.6825929578734472,311692.4692454338,0.1762492474413004,0.7596496918585793,0.28611569238287216,5.064007326499459,0.759158879105227,343219.4782576561,0.14178472653383756,0.8147907881933182,0.24153846153846154,4.0737699841368356,0.8324156739412617,373192.4933180809
tree_guided_moe_kd_focal,7,0.6206026374987215,0.5989816188812256,0.655831739961759,0.5637738330046023,0.6063284426374403,299.633,D:\project\data\merge_paper_ready_tree_cost\dl_tree_guided_moe_results\best_tree_guided_moe_kd_focal.pt,D:\project\data\merge_paper_ready_tree_cost\dl_tree_guided_moe_results\history_tree_guided_moe_kd_focal.csv,D:\project\data\merge_paper_ready_tree_cost\dl_tree_guided_moe_results\pred_tree_guided_moe_kd_focal.csv,D:\project\data\merge_paper_ready_tree_cost\dl_tree_guided_moe_results\review_budget_detail_tree_guided_moe_kd_focal.csv,0.5365753337772124,0.8999994400401647,0.547752808988764,0.5060006487187804,0.5260495700556399,0.5100885669749687,0.3499837820304898,0.7987527251243591,0.5989816188812256,84210,1288,1523,1560,0.8905191873589164,0.2559195588712293,0.3975812547241118,25.586467770171968,0.1445778091446298,67008.97109079361,0.5707298720842738,0.4920531949399935,0.5284793589966905,16.398255854394115,0.3887864638331003,179919.4361820221,0.4024830699774266,0.5783327927343497,0.4746439504858246,11.56417542058723,0.5123873940337903,236191.48618125916,0.2411107348459194,0.6928316574764839,0.357729023614135,6.927612715986503,0.6844005720190312,312541.3402504921,0.17459361830222758,0.7525137852740836,0.2834280129497282,5.016437659043017,0.752235784982908,339968.3342676163,0.14082519613930122,0.8092766785598443,0.23990384615384613,4.046200680900241,0.8342196167865804,374039.6402492523
tree_guided_moe_kd,4,0.6122807544017642,0.43448424339294434,0.6604400166044002,0.5230111768573307,0.583746101632728,248.545,D:\project\data\merge_paper_ready_tree_cost\dl_tree_guided_moe_results\best_tree_guided_moe_kd.pt,D:\project\data\merge_paper_ready_tree_cost\dl_tree_guided_moe_results\history_tree_guided_moe_kd.csv,D:\project\data\merge_paper_ready_tree_cost\dl_tree_guided_moe_results\pred_tree_guided_moe_kd.csv,D:\project\data\merge_paper_ready_tree_cost\dl_tree_guided_moe_results\review_budget_detail_tree_guided_moe_kd.csv,0.5302719871133105,0.9002721776588363,0.5712589073634204,0.46805060006487187,0.5145302192904261,0.5014613136739594,0.3597145637366202,0.7121092677116394,0.43448424339294434,84415,1083,1640,1443,0.8781038374717833,0.2523516055789815,0.3920382968002015,25.22974895461824,0.14402461433750705,66749.18609571457,0.5553047404063205,0.4787544599416153,0.5141961330778609,15.955059750221302,0.38145545117831403,176476.73017334938,0.39367945823927764,0.5656827765163801,0.4642619459603354,11.311229351376404,0.49849537610875594,229667.67619276047,0.24054633705835873,0.6912098605254622,0.35689164294088094,6.911396394085785,0.6744465937729966,307866.8672504425,0.17534617700180613,0.7557573791761272,0.2846496854193391,5.038060235159581,0.7640975075703788,345538.7002658844,0.1405429813173788,0.8076548816088226,0.23942307692307696,4.038092062301243,0.8285533781790632,371378.7263183594
concat_bce,9,0.5409373181066438,0.9515876770019531,0.6379834854411126,0.482577251808021,0.5495040239565788,625.436,D:\project\data\merge_paper_ready_tree_cost\dl_tree_guided_moe_results\best_concat_bce.pt,D:\project\data\merge_paper_ready_tree_cost\dl_tree_guided_moe_results\history_concat_bce.csv,D:\project\data\merge_paper_ready_tree_cost\dl_tree_guided_moe_results\pred_concat_bce.csv,D:\project\data\merge_paper_ready_tree_cost\dl_tree_guided_moe_results\review_budget_detail_concat_bce.csv,0.45257155115409375,0.8654049070706817,0.5215500197706603,0.4278300356795329,0.470064148253742,0.4552730125146802,0.21472591631527732,0.9980937838554382,0.9515876770019531,84288,1210,1764,1319,0.7855530474040632,0.2257541355822251,0.3507180650037793,22.570572329581356,0.16431292358573993,76276.74899101257,0.5079006772009029,0.43788517677586763,0.4703013412297509,14.593042454470705,0.36582910548022846,169138.46508479118,0.3600451467268623,0.5173532273759325,0.42459736456808195,10.34484565105812,0.45722658271788824,210287.49917387962,0.21616435263573766,0.6211482322413234,0.32071679785630547,6.210851287974791,0.6123875110296957,278723.3932020664,0.1608217940999398,0.6931560168666883,0.2610714067558488,4.620744516109882,0.6956024172543525,313372.82222151756,0.12885928768978946,0.7405124878365229,0.21951923076923074,3.7023952523027055,0.7534355011376427,336102.7311964035
moe_focal,18,0.5273486748251998,0.7931942939758301,0.6372819100091828,0.45627876397107164,0.5318007662835249,1011.057,D:\project\data\merge_paper_ready_tree_cost\dl_tree_guided_moe_results\best_moe_focal.pt,D:\project\data\merge_paper_ready_tree_cost\dl_tree_guided_moe_results\history_moe_focal.csv,D:\project\data\merge_paper_ready_tree_cost\dl_tree_guided_moe_results\pred_moe_focal.csv,D:\project\data\merge_paper_ready_tree_cost\dl_tree_guided_moe_results\review_budget_detail_moe_focal.csv,0.4364286997678103,0.8467340555059959,0.525706940874036,0.39798897178073306,0.4530182757984124,0.44060521288645477,0.24359390204346415,0.9385073781013489,0.7931942939758301,84391,1107,1856,1227,0.8182844243792325,0.23516055789815116,0.36533131771227007,23.511012843313914,0.14583041407548555,67597.20503950119,0.48382242287434163,0.4171261758027895,0.44800557394182206,13.90122414551802,0.30396568370747096,140086.87509536743,0.3415349887133183,0.49075575737917615,0.40276853454013045,9.813010326050746,0.3757566107670769,172028.50615763664,0.20329608307935432,0.5841712617580279,0.3016245185061129,5.841119148638431,0.5004853437500341,226173.18195319176,0.15096327513546057,0.6506649367499189,0.245067497403946,4.337488768982884,0.5881789315868755,262925.83801960945,0.12231190382118869,0.7028867985728187,0.2083653846153846,3.5142753008059406,0.6666883928953813,295365.5500123501
moe_focal_supcon,19,0.5355308001267589,0.7751962542533875,0.62982689747004,0.46646942800788954,0.5359773371104816,965.27,D:\project\data\merge_paper_ready_tree_cost\dl_tree_guided_moe_results\best_moe_focal_supcon.pt,D:\project\data\merge_paper_ready_tree_cost\dl_tree_guided_moe_results\history_moe_focal_supcon.csv,D:\project\data\merge_paper_ready_tree_cost\dl_tree_guided_moe_results\pred_moe_focal_supcon.csv,D:\project\data\merge_paper_ready_tree_cost\dl_tree_guided_moe_results\review_budget_detail_moe_focal_supcon.csv,0.43443454969985307,0.8537426224438107,0.5007961783439491,0.40804411287706777,0.44968722073279715,0.4343507961750319,0.20661693156016867,0.942013144493103,0.7751962542533875,84244,1254,1825,1258,0.7787810383747178,0.22380797924099902,0.3476946334089191,22.375998430188414,0.13920663300171618,64486.621007442474,0.4872084273890143,0.4200454103146286,0.45114091621668695,13.998511095214491,0.3262620594276358,150557.44311618805,0.35214446952595935,0.5060006487187804,0.41528018101956604,10.117842768433022,0.4140024648378887,189989.08511400223,0.21277796591037362,0.611417450535193,0.3156925138167811,6.113553356570486,0.5833510935077777,265087.6441206932,0.15638169777242625,0.6740188128446318,0.2538635391851444,4.49317131702215,0.6591961908700442,296276.14810180664,0.1271095557938703,0.7304573467401881,0.2165384615384615,3.652121816988915,0.7413077781103269,330407.4491250515
cnn_only_bce,11,0.47633920907604366,0.9030058979988098,0.6240893637688198,0.42241946088099935,0.5038227798470888,612.591,D:\project\data\merge_paper_ready_tree_cost\dl_tree_guided_moe_results\best_cnn_only_bce.pt,D:\project\data\merge_paper_ready_tree_cost\dl_tree_guided_moe_results\history_cnn_only_bce.csv,D:\project\data\merge_paper_ready_tree_cost\dl_tree_guided_moe_results\pred_cnn_only_bce.csv,D:\project\data\merge_paper_ready_tree_cost\dl_tree_guided_moe_results\review_budget_detail_cnn_only_bce.csv,0.43231764953903873,0.8285269405971465,0.5557059088858818,0.3996107687317548,0.4649056603773585,0.4553527950839849,0.2426208238728511,0.992119312286377,0.9030058979988098,84513,985,1851,1232,0.8148984198645598,0.23418747972753812,0.36381960191484003,23.413725893617443,0.15640204510819808,72561.73305106163,0.49473288186606473,0.4265325981187155,0.4581083434941648,14.214704316762205,0.33506661441365904,154692.13715934753,0.3397291196388262,0.48816088225754134,0.4006388925861839,9.761123952879293,0.40486427261349545,185697.7121808529,0.20239304661925725,0.5815763866363931,0.30028470942890634,5.815173033597284,0.5553868138824299,251955.38013100624,0.14735099337748345,0.6350956860201102,0.2392034695498137,4.233700403623374,0.6315681530100268,283301.78611016273,0.11881244002935035,0.6827765163801492,0.20240384615384618,3.41372843017836,0.6837670142712777,303385.81613373756
moe_bce,19,0.5268581361581098,0.8864296078681946,0.6212914485165794,0.46811308349769887,0.5339332583427071,954.23,D:\project\data\merge_paper_ready_tree_cost\dl_tree_guided_moe_results\best_moe_bce.pt,D:\project\data\merge_paper_ready_tree_cost\dl_tree_guided_moe_results\history_moe_bce.csv,D:\project\data\merge_paper_ready_tree_cost\dl_tree_guided_moe_results\pred_moe_bce.csv,D:\project\data\merge_paper_ready_tree_cost\dl_tree_guided_moe_results\review_budget_detail_moe_bce.csv,0.4136295187256912,0.8304979252387913,0.5,0.3973402530003244,0.44279775890113865,0.42807003139809674,0.18747972753811223,0.9987891316413879,0.8864296078681946,84273,1225,1858,1225,0.7562076749435666,0.2173207914369121,0.3376165280927186,21.72741876554527,0.15618303708429884,72458.88501691818,0.4759217456734387,0.4103146286084982,0.4406897753004703,13.674221262892921,0.3478772675348479,160708.129021883,0.3424379232505643,0.4920531949399935,0.40383335551710364,9.83895351263647,0.44525602460162256,204666.02308392525,0.20498927644203635,0.5890366526110931,0.30413666052587507,5.889768114340584,0.558089724897948,253224.69017481804,0.1536724864539434,0.6623418747972754,0.24946551829454522,4.415330043002517,0.6735723122518227,303027.297198534,0.12202968899926624,0.701265001621797,0.20788461538461536,3.506166682206942,0.7156450348198885,318356.00620913506
deepfm_only_bce,16,0.533766856627733,0.9575095176696777,0.6956072351421189,0.44247205785667326,0.5408880851918826,793.309,D:\project\data\merge_paper_ready_tree_cost\dl_tree_guided_moe_results\best_deepfm_only_bce.pt,D:\project\data\merge_paper_ready_tree_cost\dl_tree_guided_moe_results\history_deepfm_only_bce.csv,D:\project\data\merge_paper_ready_tree_cost\dl_tree_guided_moe_results\pred_deepfm_only_bce.csv,D:\project\data\merge_paper_ready_tree_cost\dl_tree_guided_moe_results\review_budget_detail_deepfm_only_bce.csv,0.21350530020929454,0.8265827740860939,0.34952540480178673,0.4060979565358417,0.3756939234808702,0.3524987518810612,0.0,1.0,0.9575095176696777,83168,2330,1831,1252,0.2178329571106095,0.06260136230943886,0.09725371630133535,6.258793763806325,0.042035142244214105,18854.060970306396,0.3649360421369451,0.314628608498216,0.3379202229576729,10.485371245064137,0.2172148939145531,99347.96502375603,0.31896162528216704,0.45831981835874147,0.37614801011579924,9.164430661407602,0.37447145741272153,171424.9871919155,0.20532791511457274,0.5900097307817062,0.3046390889298275,5.899497907481015,0.5592631341696365,253775.73316717148,0.15337146297411197,0.661044437236458,0.2489768493067009,4.406681012555891,0.656916664463272,295205.66307783127,0.12298921939380256,0.7067791112552708,0.20951923076923074,3.533735985443537,0.708971388577532,315222.0050690174
