experiment,epoch,train_loss,train_classification_loss,train_kd_loss,train_supcon_loss,val_PR_AUC,val_ROC_AUC,val_Fraud_Precision,val_Fraud_Recall,val_Fraud_F1,val_MCC,val_Recall@Precision>=0.80,val_threshold,lr,epoch_seconds
cnn_only_bce,1,0.4407187651090111,0.4407187651090111,0.0,0.0,0.4261630786373023,0.8556707957143386,0.5111515703231679,0.3691650230111769,0.42870776865814086,0.41756369067873933,0.2455621301775148,0.8483961224555969,0.0003,39.91
cnn_only_bce,2,0.3620027016663998,0.3620027016663998,0.0,0.0,0.44942312303369414,0.8533262822493916,0.5873015873015873,0.37705456936226167,0.45925925925925926,0.4559263485772404,0.2679158448389218,0.9262912273406982,0.0003,38.7
cnn_only_bce,3,0.3150484718022282,0.3150484718022282,0.0,0.0,0.446174374744255,0.840967316514233,0.5667920978363123,0.39612097304405,0.4663312693498452,0.4585057872134568,0.27087442472057854,0.8881186246871948,0.0003,39.94
cnn_only_bce,4,0.2817503120639614,0.2817503120639614,0.0,0.0,0.4626918713151103,0.8477946962133662,0.6078933880061507,0.3898750821827745,0.4750650911275786,0.4726570264372582,0.2869822485207101,0.8979368805885315,0.0003,38.39
cnn_only_bce,5,0.25452154337105676,0.25452154337105676,0.0,0.0,0.4717724183329928,0.8550417529115505,0.5800367985280589,0.41452991452991456,0.4835122699386503,0.47531820421142196,0.29289940828402367,0.8718349933624268,0.0003,31.96
cnn_only_bce,6,0.23276759488428306,0.23276759488428306,0.0,0.0,0.4747786382344471,0.8515109094460214,0.5629970699037254,0.4421433267587114,0.4953047320935371,0.4833106203274253,0.2935568704799474,0.893915057182312,0.0003,37.55
cnn_only_bce,7,0.2183720610065755,0.2183720610065755,0.0,0.0,0.45968657299181287,0.8368170436484756,0.5958646616541353,0.4168310322156476,0.4905222437137331,0.4837738401664306,0.30802103879026954,0.9005410075187683,0.0003,39.0
cnn_only_bce,8,0.20202256682797626,0.20202256682797626,0.0,0.0,0.4666384887680758,0.845122963892675,0.5768713581353653,0.4230769230769231,0.4881471648018206,0.4788739228856532,0.3037475345167653,0.8911969661712646,0.0003,26.94
cnn_only_bce,9,0.19059874764063,0.19059874764063,0.0,0.0,0.46593916332679586,0.8448697680444873,0.5871687587168759,0.4151873767258383,0.48642403235124204,0.47891266951547834,0.3076923076923077,0.8936071991920471,0.00015,40.25
cnn_only_bce,10,0.16622066147040868,0.16622066147040868,0.0,0.0,0.4756284992243053,0.8463630659214861,0.6345856922285126,0.40532544378698226,0.49468405215646943,0.493615835158571,0.31032215647600264,0.9233676791191101,0.00015,39.68
cnn_only_bce,11,0.1567602570961593,0.1567602570961593,0.0,0.0,0.47633920907604366,0.8505482241207376,0.6240893637688198,0.42241946088099935,0.5038227798470888,0.4995859326606623,0.31328073635765946,0.9030058979988098,0.00015,37.84
cnn_only_bce,12,0.15142647992749417,0.15142647992749417,0.0,0.0,0.4623967681114337,0.8381142803788074,0.6515885837372105,0.3977646285338593,0.49397836293121045,0.4959915444151537,0.31032215647600264,0.8826995491981506,0.00015,38.66
cnn_only_bce,13,0.14500604865932393,0.14500604865932393,0.0,0.0,0.4740889047552927,0.8450288282557774,0.6216346153846154,0.4250493096646943,0.5048809058961343,0.5000977948236882,0.31097961867192636,0.9037948250770569,0.00015,36.8
cnn_only_bce,14,0.14136691869556192,0.14136691869556192,0.0,0.0,0.4741545292072106,0.8475232285592741,0.665938864628821,0.40105193951347795,0.5006155108740254,0.5040222735881885,0.304404996712689,0.9299982190132141,7.5e-05,37.61
cnn_only_bce,15,0.1300355167360286,0.1300355167360286,0.0,0.0,0.4646743541882688,0.840475916576157,0.6329681274900398,0.4178172255095332,0.5033663366336634,0.5006400359582751,0.31689677843524,0.889779806137085,7.5e-05,38.89
cnn_only_bce,16,0.12529661961864852,0.12529661961864852,0.0,0.0,0.4681976370932637,0.8426519735598726,0.6185866408518877,0.42011834319526625,0.5003915426781519,0.49578511998443514,0.3057199211045365,0.8695718050003052,7.5e-05,39.63
