Model,Review_Budget,Review_Budget_Percent,Review_Count,TP_at_K,FP_at_K,FN_at_K,TN_at_K,Precision@K,Recall@K,F1@K,Lift@K,Captured_Fraud_Amount@K,Captured_Fraud_Amount_Rate@K,Review_Cost@K,False_Positive_Cost@K,Expected_Utility@K
tree_guided_moe_kd_focal_supcon,0.01,1.0,886,776,110,2307,85388,0.8758465011286681,0.25170288679857283,0.39103048626858156,25.164890988153925,67440.15710520744,0.14360931311984393,886.0,0.0,66554.15710520744
tree_guided_moe_kd_focal_supcon,0.03,3.0,2658,1537,1121,1546,84377,0.5782543265613243,0.49854038274408047,0.5354467862741683,16.61444907594183,179528.73516702652,0.38229445851365423,2658.0,0.0,176870.73516702652
tree_guided_moe_kd_focal_supcon,0.05,5.0,4430,1767,2663,1316,82835,0.3988713318284424,0.5731430424910802,0.47038466657793154,11.460402674244326,232582.4881772995,0.4952688843642554,4430.0,0.0,228152.4881772995
tree_guided_moe_kd_focal_supcon,0.1,10.0,8859,2122,6737,961,78761,0.2395304210407495,0.6882906260136231,0.3553843577290236,6.882207014664493,318767.57724809647,0.6787942789347556,8859.0,0.0,309908.57724809647
tree_guided_moe_kd_focal_supcon,0.15,15.0,13288,2325,10963,758,74535,0.17496989765201687,0.7541355822251055,0.28403884918453365,5.0272489471013,361422.23726511,0.7696245303656319,13288.0,0.0,348134.23726511
tree_guided_moe_kd_focal_supcon,0.2,20.0,17717,2505,15212,578,70286,0.14138962578314612,0.8125202724618877,0.2408653846153846,4.062417918098237,403389.95718097687,0.8589919887023839,17717.0,0.0,385672.95718097687
