Model,PR_AUC,ROC_AUC,Fraud_Precision,Fraud_Recall,Fraud_F1,MCC,Recall@Precision>=0.80,Precision@3%,Recall@3%,CapturedAmountRate@3%,ExpectedUtility@3%,Precision@5%,Recall@5%,CapturedAmountRate@5%,ExpectedUtility@5%,Best_Epoch,Train_Time_Seconds,Skip_Reason
TabM_like,0.37994169698619207,0.7953334946644894,0.5181550539744848,0.3425235160557898,0.4124194493263035,0.4046917516638595,0.206941290950373,0.43717080511662904,0.37690561141745055,0.21377413221770553,97732.15625,0.3112866817155756,0.4472915990917937,0.27138904192341584,123016.609375,3.0,55.217,
TabR_like,0.37528342326872843,0.8099196004660778,0.4755829300483942,0.3506325008108985,0.40365944734876774,0.3902748427368153,0.22802465131365554,0.43077501881113617,0.3713915017839766,0.1951803669971902,89000.359375,0.3060948081264108,0.4398313331170937,0.25430341843258797,114993.046875,4.0,56.252,
FTTransformer,0.3782090946025017,0.8065403396013755,0.5379812695109261,0.3353876094712942,0.41318681318681316,0.40885230060819844,0.22997080765488162,0.4345372460496614,0.3746350956860201,0.2044434217249966,93350.375,0.3162528216704289,0.4544275056762893,0.2809441747125415,127503.78125,16.0,4695.742,
SAINT_like,0.3010818450808076,0.795650177369554,0.3608863876187126,0.33279273434965945,0.3462706716166048,0.32396980340143583,0.09633473889069089,0.3747178329571106,0.32306195264352905,0.17550031036491034,79758.4375,0.27742663656884875,0.39863769056114173,0.2440199023495103,110163.8203125,15.0,7062.58,
TabPFN,,,,,,,,,,,,,,,,,,tabpfn not installed or import failed: No module named 'tabpfn'
AutoGluon_Tabular,,,,,,,,,,,,,,,,,,autogluon.tabular not installed or import failed: No module named 'autogluon'
