Model,Review_Budget,K,Precision@K,Recall@K,F1@K,Lift@K,Captured_Fraud_Amount,CapturedAmountRate@K,Review_Cost,ExpectedUtility@K
TabM_like,0.01,886,0.7844243792325056,0.22542977619202076,0.35021415973796927,22.538143346349198,50707.8828125,0.10797904943831874,886.0,49821.8828125
TabM_like,0.03,2658,0.43717080511662904,0.37690561141745055,0.4048075248214597,12.560826171922193,100390.15625,0.21377413221770553,2658.0,97732.15625
TabM_like,0.05,4430,0.3112866817155756,0.4472915990917937,0.3670970318115267,8.943913575428933,127446.609375,0.27138904192341584,4430.0,123016.609375
TabM_like,0.1,8859,0.1881702223727283,0.5407071034706454,0.279182716462904,5.406521721699204,171467.0625,0.3651276565261505,8859.0,162608.0625
TabM_like,0.15,13288,0.1406532209512342,0.6062277002919234,0.22833058457027672,4.041259476185948,198204.5625,0.4220633768565081,13288.0,184916.5625
TabM_like,0.2,17717,0.11452277473612914,0.6581252027246188,0.19509615384615384,3.290477427473583,228489.4375,0.48655299530400087,17717.0,210772.4375
