Model,Epoch,Train_Loss,Val_PR_AUC,Val_ROC_AUC,Val_Fraud_F1,Val_MCC,Val_Threshold
FTTransformer,1,1.8307285615376063,0.28857981247976994,0.7887749396123444,0.3461372464393612,0.3487278898125275,0.9892955422401428
FTTransformer,2,1.620588451988843,0.3264633896773901,0.7912803137599385,0.3581216882879591,0.3401862706778563,0.9905459880828857
FTTransformer,3,1.591583828050263,0.3211576858724354,0.7926710846890306,0.37712755785044944,0.3638992358216529,0.9927143454551697
FTTransformer,4,1.5765081833819954,0.34167440427924,0.7981682619304056,0.3871388225070606,0.3945456166014961,0.9961618185043335
FTTransformer,5,1.5624067194607794,0.3466974374822053,0.7929112333648456,0.3900693357190785,0.4049346267793527,0.995481014251709
FTTransformer,6,1.5469999469056421,0.3539992936734321,0.7935651484208283,0.3875051041241323,0.3831684158524133,0.9943827390670776
FTTransformer,7,1.5363179673953933,0.35203131646862723,0.7960453505569228,0.3935878506644168,0.39532430885220704,0.9962477087974548
FTTransformer,8,1.526437817301069,0.35537584798143607,0.7908139032882402,0.4011964107676969,0.3941416091850256,0.9961079955101013
FTTransformer,9,1.5174252412757094,0.367012218586685,0.8014013819887793,0.4052732298532851,0.40947017934545615,0.9965537786483765
FTTransformer,10,1.507183574657051,0.3598763841219114,0.7968975576531104,0.39214892755969244,0.3867132396364606,0.9944756627082825
FTTransformer,11,1.5006441408274125,0.3609909325027815,0.7988359024580018,0.39614689945815773,0.389723621151567,0.997753918170929
FTTransformer,12,1.4955111917184323,0.36168982725027926,0.7947790619500419,0.3958553605413407,0.3982479980065385,0.996777355670929
FTTransformer,13,1.480236411581234,0.36754456444232153,0.798638536594098,0.402428810720268,0.40338477550281576,0.996575653553009
FTTransformer,14,1.4746820805024128,0.3685970344092209,0.8018538171902764,0.4063140631406314,0.40377969819760207,0.9964577555656433
FTTransformer,15,1.470080399999813,0.36923775540808546,0.7993659865896282,0.4085603112840467,0.4166135452433294,0.9966523051261902
FTTransformer,16,1.467028123018693,0.37154423761946465,0.8033118012331273,0.40618291112065263,0.412498088899439,0.9976917505264282
FTTransformer,17,1.4563916790242097,0.3711429988391348,0.7988742945793575,0.40330088870080405,0.406359565490199,0.996006429195404
FTTransformer,18,1.457549271291616,0.3674149027065135,0.7996796221668007,0.3904885751439718,0.37511728635534575,0.9940633177757263
FTTransformer,19,1.4527344387404773,0.3630677076074305,0.7980543345592757,0.39027538726333905,0.3957954709287786,0.9964430928230286
FTTransformer,20,1.4409212628189398,0.36651031834265896,0.7963441807639731,0.3975953565505804,0.3964140057568444,0.9956450462341309
