Model,Best_Epoch,Best_Val_PR_AUC,Selected_Threshold_from_Val,Val_Best_Fraud_Precision,Val_Best_Fraud_Recall,Val_Best_Fraud_F1,Train_Time_Seconds,Checkpoint_File,History_File,PR_AUC,ROC_AUC,Fraud_Precision,Fraud_Recall,Fraud_F1,MCC,Recall@Precision>=0.80,Threshold@Precision>=0.80,Selected_Threshold,TN,FP,FN,TP,Precision@1%,Recall@1%,F1@1%,Lift@1%,CapturedAmountRate@1%,ExpectedUtility@1%,Precision@3%,Recall@3%,F1@3%,Lift@3%,CapturedAmountRate@3%,ExpectedUtility@3%,Precision@5%,Recall@5%,F1@5%,Lift@5%,CapturedAmountRate@5%,ExpectedUtility@5%,Precision@10%,Recall@10%,F1@10%,Lift@10%,CapturedAmountRate@10%,ExpectedUtility@10%,Precision@15%,Recall@15%,F1@15%,Lift@15%,CapturedAmountRate@15%,ExpectedUtility@15%,Precision@20%,Recall@20%,F1@20%,Lift@20%,CapturedAmountRate@20%,ExpectedUtility@20%,Prediction_File,Review_Budget_Detail_File,Skip_Reason
TabM_like,3.0,0.3603708199833832,0.9924547672271729,0.5143964562569213,0.3053911900065746,0.3832508250825083,55.217,D:\project\data\merge_paper_ready_tree_cost\sota_6_tabular_model_results\best_TabM_like.pt,D:\project\data\merge_paper_ready_tree_cost\sota_6_tabular_model_results\history_TabM_like.csv,0.37994169698619207,0.7953334946644894,0.5181550539744848,0.3425235160557898,0.4124194493263035,0.4046917516638595,0.206941290950373,0.9989128112792969,0.9924547672271729,84516.0,982.0,2027.0,1056.0,0.7844243792325056,0.22542977619202076,0.35021415973796927,22.538143346349198,0.10797904943831874,49821.8828125,0.43717080511662904,0.37690561141745055,0.4048075248214597,12.560826171922193,0.21377413221770553,97732.15625,0.3112866817155756,0.4472915990917937,0.3670970318115267,8.943913575428933,0.27138904192341584,123016.609375,0.1881702223727283,0.5407071034706454,0.279182716462904,5.406521721699204,0.3651276565261505,162608.0625,0.1406532209512342,0.6062277002919234,0.22833058457027672,4.041259476185948,0.4220633768565081,184916.5625,0.11452277473612914,0.6581252027246188,0.19509615384615384,3.290477427473583,0.48655299530400087,210772.4375,D:\project\data\merge_paper_ready_tree_cost\sota_6_tabular_model_results\pred_TabM_like.csv,D:\project\data\merge_paper_ready_tree_cost\sota_6_tabular_model_results\review_budget_detail_TabM_like.csv,
TabR_like,4.0,0.3684037085965419,0.9935423135757446,0.5051102743410436,0.3086785009861933,0.3831871046725158,56.252,D:\project\data\merge_paper_ready_tree_cost\sota_6_tabular_model_results\best_TabR_like.pt,D:\project\data\merge_paper_ready_tree_cost\sota_6_tabular_model_results\history_TabR_like.csv,0.37528342326872843,0.8099196004660778,0.4755829300483942,0.3506325008108985,0.40365944734876774,0.3902748427368153,0.22802465131365554,0.9995038509368896,0.9935423135757446,84306.0,1192.0,2002.0,1081.0,0.7968397291196389,0.22899772948426858,0.35575711766187956,22.894862161902928,0.11520464819365493,53215.08203125,0.43077501881113617,0.3713915017839766,0.39888521163560353,12.377061933606635,0.1951803669971902,89000.359375,0.3060948081264108,0.4398313331170937,0.36097431119393053,8.794740252561011,0.25430341843258797,114993.046875,0.18862174060277684,0.5420045410314629,0.2798526210015073,5.419494779219778,0.3815169976693352,170304.625,0.1401264298615292,0.6039571845604931,0.2274754138415491,4.026123672904353,0.4449374452336361,195658.40625,0.11491787548682057,0.6603957184560493,0.19576923076923078,3.3018294935121806,0.5018313126785396,217947.25,D:\project\data\merge_paper_ready_tree_cost\sota_6_tabular_model_results\pred_TabR_like.csv,D:\project\data\merge_paper_ready_tree_cost\sota_6_tabular_model_results\review_budget_detail_TabR_like.csv,
FTTransformer,16.0,0.37154423761946465,0.9976917505264282,0.5853960396039604,0.31097961867192636,0.4061829111206526,4695.742,D:\project\data\merge_paper_ready_tree_cost\sota_6_tabular_model_results\best_FTTransformer.pt,D:\project\data\merge_paper_ready_tree_cost\sota_6_tabular_model_results\history_FTTransformer.csv,0.3782090946025017,0.8065403396013755,0.5379812695109261,0.3353876094712942,0.41318681318681316,0.40885230060819844,0.22997080765488162,0.9994376301765442,0.9976917505264282,84610.0,888.0,2049.0,1034.0,0.8002257336343115,0.22997080765488162,0.35726883345930965,22.9921491115994,0.11553321373460461,53369.3828125,0.4345372460496614,0.3746350956860201,0.4023689252743424,12.485158544380491,0.2044434217249966,93350.375,0.3162528216704289,0.4544275056762893,0.3729535471848795,9.086601101650425,0.2809441747125415,127503.78125,0.19054069308048313,0.5475186506649368,0.2826997152905711,5.474630273682218,0.37500283647157445,167245.53125,0.14223359422034917,0.6130392474862147,0.23089609675645958,4.086666886030733,0.44743953291414995,196833.421875,0.115312976237512,0.6626662341874797,0.1964423076923077,3.3131815595507783,0.5118643700108462,222658.875,D:\project\data\merge_paper_ready_tree_cost\sota_6_tabular_model_results\pred_FTTransformer.csv,D:\project\data\merge_paper_ready_tree_cost\sota_6_tabular_model_results\review_budget_detail_FTTransformer.csv,
SAINT_like,15.0,0.32228381103431003,0.9931344985961914,0.4064748201438849,0.2971729125575279,0.34333459931636917,7062.58,D:\project\data\merge_paper_ready_tree_cost\sota_6_tabular_model_results\best_SAINT_like.pt,D:\project\data\merge_paper_ready_tree_cost\sota_6_tabular_model_results\history_SAINT_like.csv,0.3010818450808076,0.795650177369554,0.3608863876187126,0.33279273434965945,0.3462706716166048,0.32396980340143583,0.09633473889069089,0.9993215799331665,0.9931344985961914,83681.0,1817.0,2057.0,1026.0,0.6557562076749436,0.18845280570872527,0.2927689594356261,18.841239257883288,0.07560909945465212,34620.67578125,0.3747178329571106,0.32306195264352905,0.34697787841839406,10.766422433076164,0.17550031036491034,79758.4375,0.27742663656884875,0.39863769056114173,0.32716624517502996,7.97104407846422,0.2440199023495103,110163.8203125,0.17439891635624788,0.5011352578657152,0.2587506280355049,5.010843467321697,0.33280254988996155,147427.90625,0.13794400963275136,0.5945507622445669,0.22393256367967748,3.9634182021663147,0.42941740300697284,188370.0625,0.11418411694982221,0.6561790463833928,0.19451923076923078,3.280747085154785,0.4735759946849344,204678.3125,D:\project\data\merge_paper_ready_tree_cost\sota_6_tabular_model_results\pred_SAINT_like.csv,D:\project\data\merge_paper_ready_tree_cost\sota_6_tabular_model_results\review_budget_detail_SAINT_like.csv,
TabPFN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tabpfn not installed or import failed: No module named 'tabpfn'
AutoGluon_Tabular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,autogluon.tabular not installed or import failed: No module named 'autogluon'
