Model,Epoch,Train_Loss,Val_PR_AUC,Val_ROC_AUC,Val_Fraud_F1,Val_MCC,Val_Threshold
SAINT_like,1,2.0034178641377665,0.25151548100272164,0.7430551381036855,0.3119819140919367,0.29455920379910217,0.975459098815918
SAINT_like,2,1.7001413710263311,0.274604109701754,0.7737713908198897,0.32655455612045364,0.3132985122546891,0.9861519932746887
SAINT_like,3,1.6567649904562503,0.30249396341928186,0.7742101658817111,0.35478867778208606,0.34196759464040355,0.9760851860046387
SAINT_like,4,1.645072237812743,0.30260544766672814,0.764129526593477,0.33665008291873966,0.33150798063434916,0.9787094593048096
SAINT_like,5,1.6429431389789193,0.3011174872349389,0.7759555182195058,0.33500764359030355,0.3390805156846404,0.9908530116081238
SAINT_like,6,1.6342789216917388,0.3058372283337817,0.774963689085183,0.33328498912255256,0.3089948276430994,0.970524787902832
SAINT_like,7,1.622294233283218,0.3033064806832053,0.78259127357919,0.33521870286576166,0.31883895576518123,0.9888182282447815
SAINT_like,8,1.6161075387682233,0.29745739891838646,0.7856606007038063,0.3367755532139094,0.3343115676908751,0.9927076697349548
SAINT_like,9,1.6086622452249333,0.3113913485553606,0.7871164230281126,0.3374211632796076,0.31619474503584194,0.988770604133606
SAINT_like,10,1.6019677473574268,0.30658224835325903,0.7884172299567167,0.3377750232414007,0.31337850708495685,0.9756543636322021
SAINT_like,11,1.5916850907461983,0.31008058962730956,0.7891129881976162,0.3387329013678906,0.3190613080929325,0.9900144338607788
SAINT_like,12,1.5925940878537237,0.3093583932057726,0.7853690108127356,0.34312674244048896,0.3442663729897099,0.9905402660369873
SAINT_like,13,1.5851334965958888,0.32122054552813417,0.7895153676052538,0.3491282968261064,0.3597346377356728,0.9937299489974976
SAINT_like,14,1.5807006003905315,0.31614197956102125,0.7875432192869043,0.34199903116421765,0.318224880012661,0.986504852771759
SAINT_like,15,1.575978068916165,0.32228381103431003,0.7899272528099055,0.34333459931636917,0.32794130716448167,0.9931344985961914
SAINT_like,16,1.5762563491354182,0.321711954031058,0.788038168286449,0.34798206278026905,0.32844152068486065,0.9891547560691833
SAINT_like,17,1.571528120916717,0.311804874819994,0.7814917236078703,0.3398714356354047,0.31646490980484443,0.9909658432006836
SAINT_like,18,1.570466076111307,0.3202720357304003,0.7888074806821721,0.3504542278127184,0.3295523050557256,0.9923553466796875
SAINT_like,19,1.5673692523216716,0.3089685923247411,0.7797296731952719,0.336317517159057,0.311888582975882,0.9880706071853638
SAINT_like,20,1.568115646498544,0.3139581444648723,0.7872719937452894,0.33997263189904214,0.3156308268512676,0.9887048602104187
